ID;Gewassen;BiologischeBestrijders;Perioden;BedrijvenMetBiologischeBestrijders_1;BedrijvenMetBiologischeBestrijders_2;OppervlakteMetBestrijders_3;OppervlakteMetBestrijdersRelatief_4;IngezetteBiologischeBestrijders_5;TotaalOppervlakte_6;OppervlakteMetBiologischeBestrijders_7
0;Totaal gewassen/teeltsectoren;Totaal bestrijders;2012;;;4926.0;77.6;;;
1;Totaal gewassen/teeltsectoren;Totaal bestrijders;2016;;;5579.0;92.0;;;
2;Totaal gewassen/teeltsectoren;Totaal bestrijders;2020;;;6356.0;94.4;;;
3;Totaal gewassen/teeltsectoren;A Roofmijt en rooftrips totaal;2012;;;3255.0;51.3;16383247.0;2581.0;5034.0
4;Totaal gewassen/teeltsectoren;A Roofmijt en rooftrips totaal;2016;;;3989.0;65.8;10605321.0;1748.0;2659.0
5;Totaal gewassen/teeltsectoren;A Roofmijt en rooftrips totaal;2020;;;4668.0;69.3;52344193.0;7772.0;11213.0
6;Totaal gewassen/teeltsectoren;A01 Amblydromalus limonicus;2012;;;329.0;5.2;471080.0;74.0;1430.0
7;Totaal gewassen/teeltsectoren;A01 Amblydromalus limonicus;2016;;;327.0;5.4;257438.0;42.0;788.0
8;Totaal gewassen/teeltsectoren;A01 Amblydromalus limonicus;2020;;;470.0;7.0;281417.0;42.0;599.0
9;Totaal gewassen/teeltsectoren;A02 Amblyseius degenerans;2012;;;439.0;6.9;12847.0;2.0;29.0
10;Totaal gewassen/teeltsectoren;A02 Amblyseius degenerans;2016;;;525.0;8.7;1313.0;0.0;3.0
11;Totaal gewassen/teeltsectoren;A02 Amblyseius degenerans;2020;;;205.0;3.0;3940.0;1.0;19.0
12;Totaal gewassen/teeltsectoren;A03 Amblyseius swirskii;2012;;;1915.0;30.2;3570941.0;563.0;1865.0
13;Totaal gewassen/teeltsectoren;A03 Amblyseius swirskii;2016;;;1720.0;28.4;3370379.0;556.0;1960.0
14;Totaal gewassen/teeltsectoren;A03 Amblyseius swirskii;2020;;;1484.0;22.0;4239221.0;629.0;2857.0
15;Totaal gewassen/teeltsectoren;A04 Macrocheles robustulus;2012;;;294.0;4.6;252814.0;40.0;859.0
16;Totaal gewassen/teeltsectoren;A04 Macrocheles robustulus;2016;;;409.0;6.7;1120337.0;185.0;2742.0
17;Totaal gewassen/teeltsectoren;A04 Macrocheles robustulus;2020;;;267.0;4.0;1393933.0;207.0;5226.0
18;Totaal gewassen/teeltsectoren;A05 Neioseiulus californicus;2012;;;991.0;15.6;677531.0;107.0;684.0
19;Totaal gewassen/teeltsectoren;A05 Neioseiulus californicus;2016;;;1005.0;16.6;550546.0;91.0;548.0
20;Totaal gewassen/teeltsectoren;A05 Neioseiulus californicus;2020;;;1288.0;19.1;1028487.0;153.0;799.0
21;Totaal gewassen/teeltsectoren;A06 Neioseiulus cucumeris;2012;;;1711.0;26.9;10282315.0;1620.0;6011.0
22;Totaal gewassen/teeltsectoren;A06 Neioseiulus cucumeris;2016;;;1336.0;22.0;2983415.0;492.0;2233.0
23;Totaal gewassen/teeltsectoren;A06 Neioseiulus cucumeris;2020;;;1674.0;24.9;8364729.0;1242.0;4997.0
24;Totaal gewassen/teeltsectoren;A07 Phytoseiulus persimilis;2012;;;2344.0;36.9;305532.0;48.0;130.0
25;Totaal gewassen/teeltsectoren;A07 Phytoseiulus persimilis;2016;;;2748.0;45.3;661768.0;109.0;241.0
26;Totaal gewassen/teeltsectoren;A07 Phytoseiulus persimilis;2020;;;3495.0;51.9;635591.0;94.0;182.0
27;Totaal gewassen/teeltsectoren;A08 Stratiolaelaps scimitus;2012;;;361.0;5.7;301819.0;48.0;836.0
28;Totaal gewassen/teeltsectoren;A08 Stratiolaelaps scimitus;2016;;;698.0;11.5;1042448.0;172.0;1493.0
29;Totaal gewassen/teeltsectoren;A08 Stratiolaelaps scimitus;2020;;;629.0;9.3;2145161.0;319.0;3410.0
30;Totaal gewassen/teeltsectoren;A09 Transeius montdorensis;2012;;;316.0;5.0;476280.0;75.0;1507.0
31;Totaal gewassen/teeltsectoren;A09 Transeius montdorensis;2016;;;699.0;11.5;527471.0;87.0;754.0
32;Totaal gewassen/teeltsectoren;A09 Transeius montdorensis;2020;;;2189.0;32.5;33849260.0;5026.0;15462.0
33;Totaal gewassen/teeltsectoren;A99 Roofmijt en rooftrips, overig;2012;;;252.0;4.0;32089.0;5.0;127.0
34;Totaal gewassen/teeltsectoren;A99 Roofmijt en rooftrips, overig;2016;;;202.0;3.3;90205.0;15.0;447.0
35;Totaal gewassen/teeltsectoren;A99 Roofmijt en rooftrips, overig;2020;;;246.0;3.7;402455.0;60.0;1637.0
36;Totaal gewassen/teeltsectoren;B Sluipwesp en galmug totaal;2012;;;3319.0;52.3;549120.0;87.0;165.0
