ID;Geslacht;Arbeidsduur;Persoonskenmerken;PositieInDeWerkkring;Perioden;WerkzameBeroepsbevolking_1;WerkzameBeroepsbevolkingMetInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkInkomen_4;GemiddeldGestandaardiseerdInkomen_5;WerkzameBeroepsbevolkingInkOnbekend_6
0;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2013;8433.0;8194.0;39.7;35.0;29.7;239.0
1;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2014;8382.0;8081.0;40.6;35.7;31.4;302.0
2;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2015;8458.0;8205.0;40.3;36.1;31.3;253.0
3;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2016;8570.0;8244.0;41.3;36.9;32.9;326.0
4;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2017;8744.0;8235.0;42.2;37.8;34.0;510.0
5;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2018;8939.0;8489.0;43.1;38.2;34.2;451.0
6;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2019;9117.0;8653.0;44.9;39.5;37.1;464.0
7;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2020;9116.0;8544.0;47.0;41.2;38.1;572.0
8;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2021;9255.0;9232.0;49.0;43.2;40.9;23.0
9;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2022;9548.0;9525.0;52.2;45.3;43.4;23.0
10;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2023;9737.0;9706.0;54.9;47.4;46.0;31.0
11;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2024;9798.0;;;;;
12;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2013;7199.0;6998.0;40.4;34.6;29.3;201.0
13;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2014;7132.0;6872.0;41.1;35.1;30.7;259.0
14;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2015;7191.0;6978.0;41.0;35.8;30.9;213.0
15;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2016;7270.0;6994.0;41.7;36.2;32.2;276.0
16;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2017;7422.0;6989.0;42.4;36.7;33.2;433.0
17;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2018;7604.0;7228.0;43.3;37.3;33.4;376.0
18;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2019;7761.0;7371.0;45.1;38.5;35.8;390.0
19;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2020;7703.0;7226.0;47.6;40.3;37.2;477.0
20;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2021;7810.0;7792.0;49.3;41.9;39.9;18.0
21;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2022;8009.0;7992.0;52.5;43.9;42.0;18.0
22;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2023;8151.0;8132.0;55.3;46.0;44.9;19.0
23;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer;2024;8183.0;;;;;
