ID;Melkvee;GrootveeEenheid;RegioS;Perioden;AlleDieren_1;WeidendeDieren_2;AlleDieren_3;WeidendeDieren_4;BedrijvenZonderWeidegang_5;DierenZonderWeidegang_6;BedrijvenMetWeidegang_7;DierenMetWeidegang_8;UrenBijDagEnNachtWeiden_9;UrenBijBeperktWeiden_10;DagEnNachtWeiden_11;OverdagWeiden_12
0;Rundvee melkveehouderij (totaal);Totaal;Nederland;2010;;;;;;;;;;;;
1;Rundvee melkveehouderij (totaal);Totaal;Nederland;2011;;;;;15.0;35.0;85.0;65.0;;;;
2;Rundvee melkveehouderij (totaal);Totaal;Nederland;2012;;;;;16.0;36.0;84.0;64.0;;;;
3;Rundvee melkveehouderij (totaal);Totaal;Nederland;2013;;;;;;;;;;;;
4;Rundvee melkveehouderij (totaal);Totaal;Nederland;2014;;;;;;;;;;;;
5;Rundvee melkveehouderij (totaal);Totaal;Nederland;2015;;;;;;;;;;;;
6;Rundvee melkveehouderij (totaal);Totaal;Nederland;2016;;;;;19.0;41.0;81.0;59.0;;;;
7;Rundvee melkveehouderij (totaal);Totaal;Nederland;2017;;;;;18.0;39.0;82.0;61.0;;;;
8;Rundvee melkveehouderij (totaal);Totaal;Nederland;2018;;;;;17.0;37.0;83.0;63.0;;;;
9;Rundvee melkveehouderij (totaal);Totaal;Nederland;2019;;;;;16.0;36.0;84.0;64.0;;;;
10;Rundvee melkveehouderij (totaal);Totaal;Nederland;2020;;;;;16.0;36.0;84.0;64.0;;;;
11;Rundvee melkveehouderij (totaal);Totaal;Nederland;2021;;;;;15.0;36.0;85.0;64.0;;;;
12;Rundvee melkveehouderij (totaal);Totaal;Nederland;2022;;;;;16.0;36.0;84.0;64.0;;;;
13;Rundvee melkveehouderij (totaal);Totaal;Nederland;2023;;;;;17.0;37.0;83.0;63.0;;;;
14;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2010;;;;;;;;;;;;
15;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2011;;;;;18.0;41.0;82.0;59.0;;;;
16;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2012;;;;;19.0;41.0;81.0;59.0;;;;
17;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2013;;;;;;;;;;;;
18;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2014;;;;;;;;;;;;
19;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2015;;;;;;;;;;;;
20;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2016;;;;;21.0;46.0;79.0;54.0;;;;
21;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2017;;;;;21.0;43.0;79.0;57.0;;;;
22;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2018;;;;;20.0;42.0;80.0;58.0;;;;
23;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2019;;;;;19.0;42.0;81.0;58.0;;;;
24;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2020;;;;;21.0;43.0;79.0;57.0;;;;
25;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2021;;;;;20.0;43.0;80.0;57.0;;;;
26;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2022;;;;;20.0;42.0;80.0;58.0;;;;
27;Rundvee melkveehouderij (totaal);Totaal;Groningen (PV);2023;;;;;22.0;45.0;78.0;55.0;;;;
28;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2010;;;;;;;;;;;;
29;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2011;;;;;16.0;38.0;84.0;62.0;;;;
30;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2012;;;;;17.0;39.0;83.0;61.0;;;;
31;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2013;;;;;;;;;;;;
32;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2014;;;;;;;;;;;;
33;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2015;;;;;;;;;;;;
34;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2016;;;;;20.0;43.0;80.0;57.0;;;;
35;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2017;;;;;18.0;40.0;82.0;60.0;;;;
36;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2018;;;;;16.0;38.0;84.0;62.0;;;;
37;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2019;;;;;15.0;37.0;85.0;63.0;;;;
38;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2020;;;;;15.0;36.0;85.0;64.0;;;;
39;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2021;;;;;15.0;36.0;85.0;64.0;;;;
40;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2022;;;;;16.0;36.0;84.0;64.0;;;;
41;Rundvee melkveehouderij (totaal);Totaal;Fryslân (PV);2023;;;;;18.0;38.0;82.0;62.0;;;;
42;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2010;;;;;;;;;;;;
43;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2011;;;;;16.0;33.0;84.0;67.0;;;;
44;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2012;;;;;16.0;34.0;84.0;66.0;;;;
45;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2013;;;;;;;;;;;;
46;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2014;;;;;;;;;;;;
47;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2015;;;;;;;;;;;;
48;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2016;;;;;20.0;40.0;80.0;60.0;;;;
49;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2017;;;;;21.0;39.0;79.0;61.0;;;;
50;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2018;;;;;18.0;37.0;82.0;63.0;;;;
51;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2019;;;;;18.0;37.0;82.0;63.0;;;;
52;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2020;;;;;17.0;37.0;83.0;63.0;;;;
53;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2021;;;;;16.0;36.0;84.0;64.0;;;;
54;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2022;;;;;17.0;36.0;83.0;64.0;;;;
55;Rundvee melkveehouderij (totaal);Totaal;Drenthe (PV);2023;;;;;19.0;38.0;81.0;62.0;;;;
56;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2010;;;;;;;;;;;;
57;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2011;;;;;13.0;30.0;87.0;70.0;;;;
58;Rundvee melkveehouderij (totaal);Totaal;Overijssel (PV);2012;;;;;13.0;31.0;87.0;69.0;;;;
