ID;Geslacht;Niveau;Leerweg;Studierichting;Regio;Perioden;MboStudenten_1
0;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2015/'16;484140.0
1;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2016/'17;491890.0
2;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2017/'18;496260.0
3;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2018/'19;506570.0
4;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2019/'20;512280.0
5;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2020/'21;518940.0
6;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2021/'22;512100.0
7;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2022/'23;493080.0
8;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2023/'24;478660.0
9;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2024/'25;476240.0
10;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2015/'16;59220.0
11;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2016/'17;60870.0
12;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2017/'18;61430.0
13;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2018/'19;62820.0
14;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2019/'20;63090.0
15;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2020/'21;63270.0
16;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2021/'22;62330.0
17;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2022/'23;59920.0
18;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2023/'24;57470.0
19;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2024/'25;56390.0
20;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2015/'16;114910.0
21;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2016/'17;117880.0
22;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2017/'18;119630.0
23;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2018/'19;122300.0
