ID;Herkomstland;Geboorteland;GeboortelandOuders;Perioden;BevolkingOp1Januari_1;LevendGeborenKinderen_2;Overledenen_3;Geboorteoverschot_4;Immigratie_5;EmigratieInclusiefAdministratieveC_6;MigratiesaldoInclusiefAdministratie_7;TotaalSaldoCorrecties_8;SaldoAdministratieveCorrecties_9;SaldoOverigeCorrecties_10;BevolkingOp31December_11;Bevolkingsgroei_12;BevolkingsgroeiRelatief_13
0;Totaal;Totaal;Totaal;2022;17590672.0;167504.0;170112.0;-2608.0;403108.0;179310.0;223798.0;-23661.0;-23090.0;-571.0;17811291.0;220619.0;12.54
1;Totaal;Totaal;Totaal;2023;17811291.0;164487.0;169521.0;-5034.0;335668.0;198302.0;137366.0;-32999.0;-32318.0;-681.0;17942942.0;131651.0;7.39
2;Totaal;Totaal;Twee ouders geboren in Nederland;2022;13151772.0;121680.0;145260.0;-23580.0;18692.0;29643.0;-10951.0;-1317.0;-514.0;-803.0;13116438.0;-35334.0;-2.69
3;Totaal;Totaal;Twee ouders geboren in Nederland;2023;13116438.0;118677.0;144518.0;-25841.0;18843.0;29015.0;-10172.0;-1472.0;-893.0;-579.0;13079846.0;-36592.0;-2.79
4;Totaal;Totaal;Eén ouder in NL, één ouder buiten NL;2022;1228104.0;21399.0;9878.0;11521.0;6902.0;7724.0;-822.0;1137.0;-288.0;1425.0;1240228.0;12124.0;9.87
5;Totaal;Totaal;Eén ouder in NL, één ouder buiten NL;2023;1240228.0;20730.0;9929.0;10801.0;7081.0;7755.0;-674.0;767.0;-473.0;1240.0;1251595.0;11367.0;9.17
6;Totaal;Totaal;Twee ouders geboren buiten Nederland;2022;3210796.0;24425.0;14974.0;9451.0;377514.0;141943.0;235571.0;-23481.0;-22288.0;-1193.0;3454625.0;243829.0;75.94
7;Totaal;Totaal;Twee ouders geboren buiten Nederland;2023;3454625.0;25080.0;15074.0;10006.0;309744.0;161532.0;148212.0;-32294.0;-30952.0;-1342.0;3611501.0;156876.0;45.41
8;Totaal;Personen geboren in Nederland;Totaal;2022;15039835.0;167088.0;154212.0;12876.0;24986.0;43286.0;-18300.0;-1638.0;-1568.0;-70.0;15034341.0;-5494.0;-0.37
9;Totaal;Personen geboren in Nederland;Totaal;2023;15034341.0;164040.0;153527.0;10513.0;25655.0;42454.0;-16799.0;-2392.0;-2340.0;-52.0;15028003.0;-6338.0;-0.42
10;Totaal;Personen geboren in Nederland;Twee ouders geboren in Nederland;2022;13013279.0;121588.0;144042.0;-22454.0;16697.0;28538.0;-11841.0;-1296.0;-466.0;-830.0;12978154.0;-35125.0;-2.7
