ID;Opleidingsniveau;Marges;WijkenEnBuurten;RegiocodeGemeenteWijkBuurt_1;Bevolking15Tot75Jaar_2
0;Laag;Ondergrens 95%-interval;Nederland;          ;3556340.0
1;Laag;Ondergrens 95%-interval;Aa en Hunze;          ;4070.0
2;Laag;Ondergrens 95%-interval;Wijk 00 Annen;          ;460.0
3;Laag;Ondergrens 95%-interval;Annen;          ;440.0
4;Laag;Ondergrens 95%-interval;Verspreide huizen Annen;          ;10.0
5;Laag;Ondergrens 95%-interval;Wijk 01 Eext;          ;160.0
6;Laag;Ondergrens 95%-interval;Eext;          ;140.0
7;Laag;Ondergrens 95%-interval;Verspreide huizen Eext;          ;10.0
8;Laag;Ondergrens 95%-interval;Wijk 02 Anloo;          ;40.0
9;Laag;Ondergrens 95%-interval;Anloo;          ;30.0
10;Laag;Ondergrens 95%-interval;Verspreide huizen Anloo;          ;10.0
11;Laag;Ondergrens 95%-interval;Wijk 03 Gasteren;          ;20.0
12;Laag;Ondergrens 95%-interval;Gasteren;          ;
13;Laag;Ondergrens 95%-interval;Verspreide huizen Gasteren;          ;
14;Laag;Ondergrens 95%-interval;Wijk 04 Anderen;          ;20.0
15;Laag;Ondergrens 95%-interval;Anderen;          ;
16;Laag;Ondergrens 95%-interval;Verspreide huizen Anderen;          ;
17;Laag;Ondergrens 95%-interval;Wijk 05 Schipborg;          ;40.0
18;Laag;Ondergrens 95%-interval;Schipborg;          ;40.0
19;Laag;Ondergrens 95%-interval;Verspreide huizen Schipborg;          ;0.0
20;Laag;Ondergrens 95%-interval;Wijk 06 Eexterveen;          ;50.0
21;Laag;Ondergrens 95%-interval;Eexterveen;          ;
22;Laag;Ondergrens 95%-interval;Verspreide huizen Eexterveen;          ;
23;Laag;Ondergrens 95%-interval;Wijk 07 Spijkerboor;          ;20.0
24;Laag;Ondergrens 95%-interval;Spijkerboor;          ;20.0
25;Laag;Ondergrens 95%-interval;Verspreide huizen Spijkerboor;          ;
26;Laag;Ondergrens 95%-interval;Wijk 08 Nieuw-Annerveen;          ;10.0
27;Laag;Ondergrens 95%-interval;Nieuw-Annerveen;          ;
28;Laag;Ondergrens 95%-interval;Verspreide huizen Nieuw-Annerveen;          ;
29;Laag;Ondergrens 95%-interval;Wijk 09 Oud-Annerveen;          ;10.0
30;Laag;Ondergrens 95%-interval;Oud-Annerveen;          ;
31;Laag;Ondergrens 95%-interval;Verspreide huizen Oud-Annerveen;          ;
32;Laag;Ondergrens 95%-interval;Wijk 11 Annerveenschekanaal;          ;60.0
33;Laag;Ondergrens 95%-interval;Annerveenschekanaal;          ;
34;Laag;Ondergrens 95%-interval;Verspreide huizen Annerveenschekanaal;          ;
35;Laag;Ondergrens 95%-interval;Wijk 12 Eexterveenschekanaal;          ;30.0
36;Laag;Ondergrens 95%-interval;Eexterveenschekanaal;          ;
37;Laag;Ondergrens 95%-interval;Verspreide huizen Eexterveenschekanaal;          ;
38;Laag;Ondergrens 95%-interval;Wijk 13 Eexterzandvoort;          ;10.0
39;Laag;Ondergrens 95%-interval;Eexterzandvoort;          ;
40;Laag;Ondergrens 95%-interval;Verspreide huizen Eexterzandvoort;          ;
41;Laag;Ondergrens 95%-interval;Wijk 14 Gasselte;          ;280.0
42;Laag;Ondergrens 95%-interval;Gasselte;          ;220.0
43;Laag;Ondergrens 95%-interval;Kostvlies;          ;0.0
44;Laag;Ondergrens 95%-interval;Verspreide huizen Gasselte;          ;20.0
45;Laag;Ondergrens 95%-interval;Wijk 15 Gasselternijveen;          ;390.0
46;Laag;Ondergrens 95%-interval;Gasselternijveen;          ;380.0
47;Laag;Ondergrens 95%-interval;Gasselterboerveen;          ;10.0
48;Laag;Ondergrens 95%-interval;Verspreide huizen Gasselternijveen;          ;
49;Laag;Ondergrens 95%-interval;Wijk 16 Gasselternijveenschemond;          ;100.0
50;Laag;Ondergrens 95%-interval;Gasselternijveenschemond;          ;110.0
51;Laag;Ondergrens 95%-interval;Gasselterboerveenschemond;          ;
52;Laag;Ondergrens 95%-interval;Verspr.h. Gasselternijveenschemond;          ;
53;Laag;Ondergrens 95%-interval;Wijk 17 Gieten;          ;700.0
54;Laag;Ondergrens 95%-interval;Gieten;          ;690.0
55;Laag;Ondergrens 95%-interval;Verspreide huizen Gieten;          ;0.0
56;Laag;Ondergrens 95%-interval;Wijk 18 Gieterveen;          ;270.0
57;Laag;Ondergrens 95%-interval;Gieterveen;          ;160.0
58;Laag;Ondergrens 95%-interval;Bonnerveen;          ;10.0
59;Laag;Ondergrens 95%-interval;Nieuwediep;          ;60.0
60;Laag;Ondergrens 95%-interval;Verspreide huizen Gieterveen;          ;10.0
61;Laag;Ondergrens 95%-interval;Wijk 19 Rolde;          ;620.0
62;Laag;Ondergrens 95%-interval;Rolde;          ;480.0
63;Laag;Ondergrens 95%-interval;Ballo;          ;10.0
64;Laag;Ondergrens 95%-interval;Nijlande;          ;
65;Laag;Ondergrens 95%-interval;Deurze;          ;0.0
66;Laag;Ondergrens 95%-interval;Verspreide huizen Nooitgedacht;          ;80.0
67;Laag;Ondergrens 95%-interval;Verspreide huizen Rolde;          ;0.0
68;Laag;Ondergrens 95%-interval;Wijk 20 Grolloo;          ;140.0
69;Laag;Ondergrens 95%-interval;Grolloo;          ;70.0
70;Laag;Ondergrens 95%-interval;Schoonloo;          ;20.0
71;Laag;Ondergrens 95%-interval;Verspreide huizen Papenvoort;          ;10.0
72;Laag;Ondergrens 95%-interval;Verspreide huizen Grolloo;          ;30.0
73;Laag;Ondergrens 95%-interval;Wijk 21 Ekehaar;          ;50.0
74;Laag;Ondergrens 95%-interval;Ekehaar;          ;30.0
75;Laag;Ondergrens 95%-interval;Amen;          ;10.0
76;Laag;Ondergrens 95%-interval;Verspreide huizen Ekehaar;          ;10.0
77;Laag;Ondergrens 95%-interval;Aalsmeer;          ;6310.0
