ID;GeboortelandOudersHoofdkostwinner;HerkomstlandHoofdkostwinner;Perioden;ParticuliereHuishoudens_1;GemiddeldBesteedbaarInkomen_2;GemiddeldGestandaardiseerdInkomen_3;MediaanVermogen_4;HuishoudensMetLaagInkomen_5
0;Totaal;Totaal;2011;7347.3;36.6;25.6;31.8;6.9
1;Totaal;Totaal;2012;7412.0;36.8;25.8;25.1;8.0
2;Totaal;Totaal;2013;7467.8;37.0;25.9;17.2;8.9
3;Totaal;Totaal;2014;7496.4;39.0;27.3;17.3;8.5
4;Totaal;Totaal;2015;7568.5;38.6;27.1;20.9;8.2
5;Totaal;Totaal;2016;7623.2;40.2;28.2;23.5;7.9
6;Totaal;Totaal;2017;7694.9;41.6;29.2;30.2;7.9
7;Totaal;Totaal;2018;7760.6;42.5;29.5;39.4;7.9
8;Totaal;Totaal;2019;7827.4;45.7;31.6;52.4;7.5
9;Totaal;Totaal;2020;7894.5;46.4;32.1;65.3;6.8
10;Totaal;Totaal;2021;7951.4;48.5;33.6;88.4;6.3
11;Totaal;Totaal;2022;8041.4;51.2;35.6;135.3;4.2
12;Totaal;Totaal;2023;8156.9;55.0;38.3;133.3;3.8
13;Totaal;Nederland;2011;5850.3;38.0;26.5;52.4;4.8
14;Totaal;Nederland;2012;5881.1;38.2;26.7;42.9;5.4
15;Totaal;Nederland;2013;5911.3;38.5;26.9;31.1;6.1
16;Totaal;Nederland;2014;5915.4;40.6;28.4;31.5;5.8
17;Totaal;Nederland;2015;5947.2;40.1;28.1;36.3;5.7
18;Totaal;Nederland;2016;5958.2;41.8;29.3;41.2;5.4
19;Totaal;Nederland;2017;5975.8;43.3;30.4;51.2;5.4
20;Totaal;Nederland;2018;5982.9;44.4;30.7;64.8;5.3
21;Totaal;Nederland;2019;5991.0;47.8;33.0;82.2;5.1
22;Totaal;Nederland;2020;5995.3;48.5;33.4;99.4;4.5
23;Totaal;Nederland;2021;6004.6;50.5;35.0;128.4;4.2
24;Totaal;Nederland;2022;6015.2;53.4;37.0;188.4;2.7
25;Totaal;Nederland;2023;5998.9;57.7;40.0;194.3;2.2
26;Totaal;Europa (exclusief Nederland);2011;496.0;33.1;24.2;12.0;9.7
27;Totaal;Europa (exclusief Nederland);2012;510.6;33.1;24.3;8.4;11.2
28;Totaal;Europa (exclusief Nederland);2013;521.2;33.1;24.3;4.9;12.2
29;Totaal;Europa (exclusief Nederland);2014;532.6;34.8;25.5;4.6;11.5
30;Totaal;Europa (exclusief Nederland);2015;550.5;34.7;25.5;6.1;10.7
31;Totaal;Europa (exclusief Nederland);2016;564.6;35.9;26.4;6.9;10.1
32;Totaal;Europa (exclusief Nederland);2017;580.4;36.9;27.2;9.3;9.7
33;Totaal;Europa (exclusief Nederland);2018;602.8;37.7;27.4;11.6;9.4
34;Totaal;Europa (exclusief Nederland);2019;626.2;40.1;29.1;13.9;8.8
35;Totaal;Europa (exclusief Nederland);2020;650.5;41.1;29.8;15.9;8.1
36;Totaal;Europa (exclusief Nederland);2021;667.2;43.2;31.3;21.3;7.6
37;Totaal;Europa (exclusief Nederland);2022;696.4;45.6;33.2;24.1;5.5
38;Totaal;Europa (exclusief Nederland);2023;770.9;46.8;34.2;14.4;8.1
39;Totaal;België;2011;57.1;36.5;26.5;44.4;6.7
40;Totaal;België;2012;57.5;36.7;26.7;35.7;7.5
41;Totaal;België;2013;57.5;36.8;26.8;28.0;8.3
42;Totaal;België;2014;57.5;39.1;28.4;29.0;8.1
43;Totaal;België;2015;58.0;38.5;28.0;33.8;8.0
44;Totaal;België;2016;58.2;39.8;28.9;37.4;7.5
45;Totaal;België;2017;58.6;41.3;30.0;45.5;7.4
46;Totaal;België;2018;59.4;42.2;30.2;57.4;7.3
47;Totaal;België;2019;59.8;45.3;32.3;70.7;7.0
48;Totaal;België;2020;60.3;46.3;33.0;83.9;6.3
49;Totaal;België;2021;60.7;48.0;34.3;106.0;5.7
50;Totaal;België;2022;61.5;50.9;36.4;151.3;4.0
51;Totaal;België;2023;61.7;54.4;38.8;152.5;3.4
52;Totaal;Duitsland;2011;204.9;33.1;24.6;31.5;6.2
53;Totaal;Duitsland;2012;204.0;33.3;24.9;27.2;6.8
54;Totaal;Duitsland;2013;202.2;33.4;24.9;21.9;7.5
55;Totaal;Duitsland;2014;199.5;35.1;26.2;22.2;7.0
56;Totaal;Duitsland;2015;198.3;34.9;26.2;25.1;6.8
57;Totaal;Duitsland;2016;196.6;36.1;27.1;27.4;6.4
58;Totaal;Duitsland;2017;195.5;37.1;27.8;31.5;6.5
59;Totaal;Duitsland;2018;194.1;37.6;27.8;38.1;6.4
60;Totaal;Duitsland;2019;192.8;40.4;29.8;47.7;6.1
61;Totaal;Duitsland;2020;191.1;41.0;30.3;58.3;5.6
62;Totaal;Duitsland;2021;189.1;42.6;31.5;77.0;5.3
63;Totaal;Duitsland;2022;187.8;45.3;33.6;111.5;3.6
64;Totaal;Duitsland;2023;184.9;49.0;36.3;115.8;3.0
65;Totaal;Verenigd Koninkrijk;2011;35.0;40.9;29.3;11.8;8.7
66;Totaal;Verenigd Koninkrijk;2012;35.6;41.2;29.6;7.9;9.5
67;Totaal;Verenigd Koninkrijk;2013;36.2;41.3;29.6;4.0;10.3
68;Totaal;Verenigd Koninkrijk;2014;36.9;43.8;31.4;4.4;9.9
69;Totaal;Verenigd Koninkrijk;2015;37.7;43.9;31.6;7.1;9.4
70;Totaal;Verenigd Koninkrijk;2016;38.7;45.8;32.9;9.9;8.9
71;Totaal;Verenigd Koninkrijk;2017;39.7;46.7;33.6;15.6;8.8
72;Totaal;Verenigd Koninkrijk;2018;41.2;47.1;33.5;22.8;8.6
73;Totaal;Verenigd Koninkrijk;2019;42.8;50.0;35.6;30.1;8.2
74;Totaal;Verenigd Koninkrijk;2020;44.5;51.5;36.6;38.3;7.7
75;Totaal;Verenigd Koninkrijk;2021;45.8;55.0;38.9;53.3;7.1
76;Totaal;Verenigd Koninkrijk;2022;46.1;57.9;41.2;92.0;5.0
77;Totaal;Verenigd Koninkrijk;2023;46.4;61.7;43.9;94.5;4.7
78;Totaal;Bulgarije;2011;5.8;19.4;15.0;0.7;38.8
79;Totaal;Bulgarije;2012;6.4;19.0;14.5;0.6;42.0
80;Totaal;Bulgarije;2013;6.6;19.9;14.9;0.4;42.6
81;Totaal;Bulgarije;2014;7.8;20.5;15.3;0.0;36.1
82;Totaal;Bulgarije;2015;9.3;21.1;15.9;0.2;33.4
83;Totaal;Bulgarije;2016;10.5;22.4;16.8;0.2;30.1
84;Totaal;Bulgarije;2017;11.7;24.2;18.0;0.3;25.8
85;Totaal;Bulgarije;2018;13.6;25.5;18.9;0.4;22.5
86;Totaal;Bulgarije;2019;15.6;27.1;20.1;0.6;19.9
87;Totaal;Bulgarije;2020;18.5;28.1;20.9;0.7;17.4
88;Totaal;Bulgarije;2021;20.6;30.1;22.3;1.1;16.3
89;Totaal;Bulgarije;2022;23.5;32.4;24.1;1.0;12.3
90;Totaal;Bulgarije;2023;26.4;34.3;25.4;1.0;13.8
91;Totaal;Polen;2011;37.6;24.9;19.0;0.6;16.6
92;Totaal;Polen;2012;45.0;24.2;18.5;0.4;18.6
93;Totaal;Polen;2013;49.8;24.6;18.8;0.2;18.9
94;Totaal;Polen;2014;55.7;25.6;19.5;0.2;16.8
95;Totaal;Polen;2015;63.4;25.9;19.7;0.4;13.8
96;Totaal;Polen;2016;68.7;27.5;20.8;0.5;12.2
97;Totaal;Polen;2017;73.7;28.9;21.8;0.7;10.6
98;Totaal;Polen;2018;79.7;30.4;22.6;0.9;9.7
99;Totaal;Polen;2019;85.5;32.3;24.0;1.2;8.7
100;Totaal;Polen;2020;92.0;33.8;25.1;1.4;8.1
101;Totaal;Polen;2021;97.1;35.7;26.5;2.0;7.2
102;Totaal;Polen;2022;103.3;38.1;28.3;2.1;5.6
103;Totaal;Polen;2023;109.1;40.8;30.3;2.0;5.5
104;Totaal;Roemenië;2011;5.3;27.6;20.5;1.0;21.7
105;Totaal;Roemenië;2012;5.8;27.8;20.7;0.9;22.5
106;Totaal;Roemenië;2013;6.2;29.0;21.6;0.6;22.9
107;Totaal;Roemenië;2014;6.8;30.0;22.3;0.5;22.0
108;Totaal;Roemenië;2015;8.2;29.0;21.9;0.6;19.8
109;Totaal;Roemenië;2016;9.2;29.5;22.3;0.9;18.4
110;Totaal;Roemenië;2017;10.3;30.5;23.1;1.1;16.4
111;Totaal;Roemenië;2018;13.0;30.1;22.7;0.9;14.6
112;Totaal;Roemenië;2019;16.0;33.2;24.7;0.9;12.6
113;Totaal;Roemenië;2020;18.8;34.2;25.5;0.9;10.7
114;Totaal;Roemenië;2021;20.5;35.3;26.8;1.4;9.8
115;Totaal;Roemenië;2022;23.7;36.5;27.7;1.1;8.1
116;Totaal;Roemenië;2023;26.8;39.3;29.9;0.9;7.4
117;Totaal;Overig Europa;2011;150.3;32.8;23.4;3.5;13.0
118;Totaal;Overig Europa;2012;156.4;32.9;23.5;2.5;15.3
119;Totaal;Overig Europa;2013;162.8;33.0;23.7;1.4;16.7
120;Totaal;Overig Europa;2014;168.4;34.8;25.0;1.5;15.7
121;Totaal;Overig Europa;2015;175.6;35.4;25.5;2.4;14.2
122;Totaal;Overig Europa;2016;182.6;36.4;26.2;3.2;13.2
123;Totaal;Overig Europa;2017;190.8;37.6;27.1;4.9;12.6
124;Totaal;Overig Europa;2018;201.8;38.6;27.6;6.8;12.0
125;Totaal;Overig Europa;2019;213.7;41.1;29.3;8.6;11.2
126;Totaal;Overig Europa;2020;225.4;42.3;30.2;10.5;10.1
127;Totaal;Overig Europa;2021;233.3;45.0;32.1;16.0;9.5
128;Totaal;Overig Europa;2022;250.5;47.4;34.0;16.7;6.5
129;Totaal;Overig Europa;2023;315.6;45.6;33.1;5.8;13.4
130;Totaal;Buiten Europa;2011;1001.1;30.1;20.8;0.7;18.3
131;Totaal;Buiten Europa;2012;1020.3;30.2;20.9;0.5;21.7
132;Totaal;Buiten Europa;2013;1035.3;30.4;21.0;0.2;24.1
133;Totaal;Buiten Europa;2014;1048.3;31.8;22.0;0.2;23.2
134;Totaal;Buiten Europa;2015;1070.8;32.3;22.4;0.6;21.9
135;Totaal;Buiten Europa;2016;1100.5;33.5;23.2;0.7;21.3
136;Totaal;Buiten Europa;2017;1138.8;34.6;24.0;1.1;21.2
137;Totaal;Buiten Europa;2018;1174.9;35.7;24.4;1.4;20.7
138;Totaal;Buiten Europa;2019;1210.1;38.1;26.1;1.9;19.1
139;Totaal;Buiten Europa;2020;1248.6;39.6;27.1;2.5;17.3
140;Totaal;Buiten Europa;2021;1279.7;41.8;28.6;4.3;16.1
141;Totaal;Buiten Europa;2022;1329.8;44.5;30.6;5.3;10.3
142;Totaal;Buiten Europa;2023;1387.1;48.0;33.0;5.6;8.9
143;Totaal;Indonesië;2011;225.2;38.3;27.3;20.1;6.9
144;Totaal;Indonesië;2012;225.3;38.5;27.5;15.4;8.0
145;Totaal;Indonesië;2013;224.8;38.5;27.6;8.6;8.9
146;Totaal;Indonesië;2014;223.2;40.8;29.2;9.1;8.4
147;Totaal;Indonesië;2015;222.7;40.5;29.1;13.6;8.0
148;Totaal;Indonesië;2016;221.4;41.9;30.1;17.0;7.5
149;Totaal;Indonesië;2017;220.9;43.3;31.0;23.6;7.5
150;Totaal;Indonesië;2018;219.5;44.0;31.2;33.9;7.4
151;Totaal;Indonesië;2019;217.9;47.9;33.8;48.1;7.0
152;Totaal;Indonesië;2020;216.4;48.1;34.0;63.0;6.3
153;Totaal;Indonesië;2021;214.8;49.9;35.4;88.5;5.8
154;Totaal;Indonesië;2022;213.7;52.5;37.4;140.0;3.8
155;Totaal;Indonesië;2023;211.5;56.6;40.3;147.1;3.0
156;Totaal;Marokko;2011;117.4;26.9;16.9;0.0;24.7
157;Totaal;Marokko;2012;119.7;27.1;16.9;0.0;29.4
158;Totaal;Marokko;2013;122.0;27.3;17.1;0.0;33.1
159;Totaal;Marokko;2014;124.5;28.3;17.7;0.0;32.2
160;Totaal;Marokko;2015;127.4;29.1;18.3;0.3;30.3
161;Totaal;Marokko;2016;130.6;30.5;19.1;0.3;28.4
162;Totaal;Marokko;2017;133.2;31.8;19.9;0.6;27.1
163;Totaal;Marokko;2018;136.9;33.2;20.7;0.8;27.0
164;Totaal;Marokko;2019;140.5;35.3;21.9;0.9;25.3
165;Totaal;Marokko;2020;144.8;37.5;23.3;1.1;22.4
166;Totaal;Marokko;2021;149.0;39.3;24.5;1.5;21.4
167;Totaal;Marokko;2022;153.8;42.3;26.6;1.6;13.3
168;Totaal;Marokko;2023;158.4;45.7;28.7;2.0;12.3
169;Totaal;Nederlandse Cariben;2011;67.9;26.0;18.9;-0.5;20.9
170;Totaal;Nederlandse Cariben;2012;69.5;25.9;18.9;-1.2;23.8
171;Totaal;Nederlandse Cariben;2013;70.5;26.1;19.0;-1.7;25.8
172;Totaal;Nederlandse Cariben;2014;71.6;27.2;19.9;-2.9;25.2
173;Totaal;Nederlandse Cariben;2015;73.3;27.4;20.1;-2.4;24.7
174;Totaal;Nederlandse Cariben;2016;74.8;28.7;21.0;-2.2;23.7
175;Totaal;Nederlandse Cariben;2017;76.2;30.0;21.9;-1.4;23.0
176;Totaal;Nederlandse Cariben;2018;78.6;31.1;22.5;-0.8;21.7
177;Totaal;Nederlandse Cariben;2019;80.5;33.1;23.9;-0.4;20.4
178;Totaal;Nederlandse Cariben;2020;83.2;34.4;24.8;0.0;19.0
179;Totaal;Nederlandse Cariben;2021;85.9;35.8;25.9;0.1;17.4
180;Totaal;Nederlandse Cariben;2022;89.4;38.3;27.8;0.3;11.2
181;Totaal;Nederlandse Cariben;2023;91.8;41.7;30.2;0.5;8.9
182;Totaal;Suriname;2011;157.5;29.4;20.9;0.5;14.8
183;Totaal;Suriname;2012;159.6;29.4;20.9;0.2;19.2
184;Totaal;Suriname;2013;161.5;29.6;21.1;0.0;21.7
185;Totaal;Suriname;2014;163.0;30.7;21.9;-0.2;20.5
186;Totaal;Suriname;2015;165.5;31.2;22.4;0.0;18.0
187;Totaal;Suriname;2016;167.3;32.6;23.3;0.1;17.1
188;Totaal;Suriname;2017;169.5;33.8;24.2;0.6;16.5
189;Totaal;Suriname;2018;172.0;34.9;24.7;1.1;16.0
190;Totaal;Suriname;2019;174.2;37.1;26.2;1.7;15.2
191;Totaal;Suriname;2020;177.1;38.6;27.3;2.5;13.6
192;Totaal;Suriname;2021;180.2;40.3;28.6;4.3;12.7
193;Totaal;Suriname;2022;183.6;43.0;30.5;5.8;7.0
194;Totaal;Suriname;2023;185.5;46.5;33.1;6.5;6.1
195;Totaal;Turkije;2011;139.9;28.2;17.7;0.3;20.2
196;Totaal;Turkije;2012;141.0;28.3;17.8;0.0;24.1
197;Totaal;Turkije;2013;141.2;28.9;18.1;0.0;26.9
198;Totaal;Turkije;2014;141.9;30.3;18.9;-0.1;25.4
199;Totaal;Turkije;2015;142.6;31.4;19.6;0.0;23.6
200;Totaal;Turkije;2016;144.2;33.2;20.7;0.1;21.9
201;Totaal;Turkije;2017;146.3;34.9;21.8;0.6;20.7
202;Totaal;Turkije;2018;149.5;36.8;22.7;1.0;20.4
203;Totaal;Turkije;2019;153.5;39.2;24.3;1.5;19.0
204;Totaal;Turkije;2020;158.0;41.6;25.8;2.4;17.0
205;Totaal;Turkije;2021;162.4;43.7;27.2;4.8;16.5
206;Totaal;Turkije;2022;168.5;47.0;29.5;6.4;10.9
207;Totaal;Turkije;2023;176.6;50.7;32.0;6.6;9.6
208;Totaal;Afghanistan;2011;13.6;23.6;14.7;0.2;35.9
209;Totaal;Afghanistan;2012;14.3;23.5;14.8;0.1;43.5
210;Totaal;Afghanistan;2013;14.9;23.6;15.0;0.1;46.8
211;Totaal;Afghanistan;2014;15.2;24.8;15.7;0.1;45.0
212;Totaal;Afghanistan;2015;15.8;25.7;16.5;0.3;40.9
213;Totaal;Afghanistan;2016;16.3;27.1;17.5;0.3;37.4
214;Totaal;Afghanistan;2017;16.9;28.5;18.5;0.5;35.6
215;Totaal;Afghanistan;2018;17.7;30.1;19.4;0.7;34.5
216;Totaal;Afghanistan;2019;18.3;32.5;21.0;0.8;31.7
217;Totaal;Afghanistan;2020;18.9;34.9;22.5;1.0;28.6
218;Totaal;Afghanistan;2021;19.5;37.4;24.0;1.3;26.7
219;Totaal;Afghanistan;2022;20.3;40.5;26.2;1.6;17.0
220;Totaal;Afghanistan;2023;21.7;43.7;28.3;1.9;15.2
221;Totaal;Eritrea;2011;0.8;16.2;13.0;0.4;57.1
222;Totaal;Eritrea;2012;1.0;16.0;13.2;0.4;68.9
223;Totaal;Eritrea;2013;1.1;16.1;13.3;0.3;72.3
224;Totaal;Eritrea;2014;1.2;17.2;13.9;0.2;71.7
225;Totaal;Eritrea;2015;2.0;15.5;13.0;0.3;75.7
226;Totaal;Eritrea;2016;3.9;14.4;12.5;0.3;82.8
227;Totaal;Eritrea;2017;6.1;14.5;12.6;0.2;79.4
228;Totaal;Eritrea;2018;7.0;15.9;13.6;0.2;63.2
229;Totaal;Eritrea;2019;7.3;18.0;15.3;0.2;48.4
230;Totaal;Eritrea;2020;7.6;19.6;16.3;0.2;38.8
231;Totaal;Eritrea;2021;7.7;22.5;18.3;0.2;29.1
232;Totaal;Eritrea;2022;8.2;25.4;20.4;0.3;15.5
233;Totaal;Eritrea;2023;8.7;28.7;22.8;0.4;12.0
234;Totaal;Irak;2011;20.7;21.7;14.7;0.1;43.7
235;Totaal;Irak;2012;20.8;21.7;14.6;0.1;51.2
236;Totaal;Irak;2013;21.1;21.9;14.8;0.1;54.3
237;Totaal;Irak;2014;21.2;23.3;15.7;0.0;52.5
238;Totaal;Irak;2015;21.7;24.3;16.4;0.2;48.5
239;Totaal;Irak;2016;22.3;25.5;17.3;0.2;45.1
240;Totaal;Irak;2017;23.3;26.7;18.1;0.4;43.9
241;Totaal;Irak;2018;24.3;28.0;18.9;0.6;43.0
242;Totaal;Irak;2019;25.2;29.9;20.1;0.7;39.7
243;Totaal;Irak;2020;25.8;32.0;21.5;0.8;36.5
244;Totaal;Irak;2021;26.3;34.1;22.8;1.1;33.7
245;Totaal;Irak;2022;27.2;37.2;25.0;1.2;21.1
246;Totaal;Irak;2023;28.0;40.8;27.4;1.5;15.3
247;Totaal;Iran;2011;15.5;25.1;18.5;0.1;29.4
248;Totaal;Iran;2012;16.2;25.1;18.6;0.1;35.1
249;Totaal;Iran;2013;17.0;25.2;18.8;0.0;38.7
250;Totaal;Iran;2014;17.6;27.0;20.1;0.0;38.6
251;Totaal;Iran;2015;18.2;27.3;20.4;0.2;35.9
252;Totaal;Iran;2016;18.8;28.7;21.4;0.3;33.6
253;Totaal;Iran;2017;19.5;29.8;22.3;0.6;32.3
254;Totaal;Iran;2018;20.6;30.8;22.8;0.8;32.0
255;Totaal;Iran;2019;21.7;33.5;24.8;1.0;29.9
256;Totaal;Iran;2020;22.7;34.8;25.8;1.3;27.2
257;Totaal;Iran;2021;23.7;37.2;27.4;1.9;25.5
258;Totaal;Iran;2022;25.3;40.5;29.9;2.3;15.4
259;Totaal;Iran;2023;27.5;43.1;31.9;3.1;11.5
260;Totaal;Somalië;2011;12.7;16.6;12.3;0.0;59.4
261;Totaal;Somalië;2012;13.9;16.8;12.4;0.0;67.2
262;Totaal;Somalië;2013;13.9;17.6;12.8;0.0;70.1
263;Totaal;Somalië;2014;14.1;18.6;13.3;0.0;67.5
264;Totaal;Somalië;2015;14.3;19.5;13.6;0.0;64.1
265;Totaal;Somalië;2016;14.3;20.5;14.2;0.0;60.1
266;Totaal;Somalië;2017;14.3;21.8;15.1;0.0;54.5
267;Totaal;Somalië;2018;14.6;23.0;15.9;0.0;49.4
268;Totaal;Somalië;2019;14.6;24.9;17.0;0.0;43.8
269;Totaal;Somalië;2020;14.9;26.3;18.0;0.1;39.9
270;Totaal;Somalië;2021;15.1;28.9;19.5;0.1;35.3
271;Totaal;Somalië;2022;15.5;31.6;21.5;0.2;21.7
272;Totaal;Somalië;2023;16.0;35.0;23.8;0.2;13.6
273;Totaal;Syrië;2011;3.6;24.0;15.7;0.5;38.0
274;Totaal;Syrië;2012;3.8;23.8;15.6;0.4;43.8
275;Totaal;Syrië;2013;4.2;22.9;15.4;0.2;50.6
276;Totaal;Syrië;2014;4.9;23.3;15.8;0.2;54.8
277;Totaal;Syrië;2015;7.9;21.2;14.8;0.4;65.5
278;Totaal;Syrië;2016;14.9;20.5;14.0;0.5;76.3
279;Totaal;Syrië;2017;26.0;20.0;13.9;0.5;78.2
280;Totaal;Syrië;2018;30.4;22.2;14.6;0.5;71.5
281;Totaal;Syrië;2019;33.0;24.3;15.7;0.5;61.0
282;Totaal;Syrië;2020;35.4;26.0;16.8;0.4;54.3
283;Totaal;Syrië;2021;37.9;28.0;18.0;0.5;47.9
284;Totaal;Syrië;2022;42.9;30.6;19.9;0.5;33.0
285;Totaal;Syrië;2023;48.3;34.3;22.1;0.7;26.6
286;Totaal;Overig buiten Europa;2011;226.2;28.8;20.4;0.9;21.0
287;Totaal;Overig buiten Europa;2012;235.3;29.4;20.8;0.7;24.1
288;Totaal;Overig buiten Europa;2013;243.0;29.4;20.9;0.5;26.1
289;Totaal;Overig buiten Europa;2014;249.9;31.0;22.0;0.5;24.8
290;Totaal;Overig buiten Europa;2015;259.3;31.8;22.6;0.9;22.9
291;Totaal;Overig buiten Europa;2016;271.5;33.0;23.5;1.1;21.9
292;Totaal;Overig buiten Europa;2017;286.7;34.4;24.5;1.5;21.2
293;Totaal;Overig buiten Europa;2018;304.0;35.5;25.0;2.1;19.9
294;Totaal;Overig buiten Europa;2019;323.3;37.9;26.6;2.9;18.1
295;Totaal;Overig buiten Europa;2020;344.0;39.6;27.8;3.7;16.3
296;Totaal;Overig buiten Europa;2021;357.2;42.8;30.1;6.0;14.9
297;Totaal;Overig buiten Europa;2022;381.4;45.6;32.0;7.4;9.6
298;Totaal;Overig buiten Europa;2023;413.0;49.0;34.4;7.1;8.5
299;Geboren in Nederland;Totaal;2011;6374.0;37.7;26.3;46.7;5.1
300;Geboren in Nederland;Totaal;2012;6414.7;37.9;26.5;38.0;5.8
301;Geboren in Nederland;Totaal;2013;6454.1;38.1;26.7;26.7;6.5
302;Geboren in Nederland;Totaal;2014;6467.4;40.2;28.2;26.9;6.2
303;Geboren in Nederland;Totaal;2015;6511.7;39.7;27.9;31.4;6.1
304;Geboren in Nederland;Totaal;2016;6532.9;41.4;29.1;35.9;5.8
305;Geboren in Nederland;Totaal;2017;6561.8;42.9;30.1;45.0;5.8
306;Geboren in Nederland;Totaal;2018;6581.3;43.9;30.4;57.8;5.7
307;Geboren in Nederland;Totaal;2019;6601.0;47.4;32.7;74.4;5.5
308;Geboren in Nederland;Totaal;2020;6619.0;48.0;33.2;90.8;4.9
309;Geboren in Nederland;Totaal;2021;6643.6;50.1;34.7;118.2;4.5
310;Geboren in Nederland;Totaal;2022;6670.8;52.9;36.7;175.8;3.0
311;Geboren in Nederland;Totaal;2023;6666.0;57.2;39.7;180.8;2.4
312;Geboren in Nederland;Nederland;2011;5850.3;38.0;26.5;52.4;4.8
313;Geboren in Nederland;Nederland;2012;5881.1;38.2;26.7;42.9;5.4
314;Geboren in Nederland;Nederland;2013;5911.3;38.5;26.9;31.1;6.1
315;Geboren in Nederland;Nederland;2014;5915.4;40.6;28.4;31.5;5.8
316;Geboren in Nederland;Nederland;2015;5947.2;40.1;28.1;36.3;5.7
317;Geboren in Nederland;Nederland;2016;5958.2;41.8;29.3;41.2;5.4
318;Geboren in Nederland;Nederland;2017;5975.8;43.3;30.4;51.2;5.4
319;Geboren in Nederland;Nederland;2018;5982.9;44.4;30.7;64.8;5.3
