ID;Landen;SITC;Perioden;TotaleInvoerwaarde_1;TotaleUitvoerwaarde_2
0;Totaal landen;Totaal goederen;2015 januari;30340.0;36115.0
1;Totaal landen;Totaal goederen;2015 februari;30584.0;36022.0
2;Totaal landen;Totaal goederen;2015 maart;35325.0;39729.0
3;Totaal landen;Totaal goederen;2015 april;33309.0;38362.0
4;Totaal landen;Totaal goederen;2015 mei;32314.0;36667.0
5;Totaal landen;Totaal goederen;2015 juni;34446.0;40185.0
6;Totaal landen;Totaal goederen;2015 juli;33314.0;38698.0
7;Totaal landen;Totaal goederen;2015 augustus;30279.0;34687.0
8;Totaal landen;Totaal goederen;2015 september;32563.0;37995.0
9;Totaal landen;Totaal goederen;2015 oktober;32907.0;37770.0
10;Totaal landen;Totaal goederen;2015 november;32429.0;38003.0
11;Totaal landen;Totaal goederen;2015 december;32666.0;37618.0
12;Totaal landen;Totaal goederen;2015 ;390477.0;451851.0
13;Totaal landen;Totaal goederen;2016 januari;29532.0;34639.0
14;Totaal landen;Totaal goederen;2016 februari;30977.0;35480.0
15;Totaal landen;Totaal goederen;2016 maart;31999.0;38354.0
16;Totaal landen;Totaal goederen;2016 april;31590.0;36965.0
17;Totaal landen;Totaal goederen;2016 mei;31643.0;37071.0
18;Totaal landen;Totaal goederen;2016 juni;33399.0;39012.0
19;Totaal landen;Totaal goederen;2016 juli;30997.0;36357.0
20;Totaal landen;Totaal goederen;2016 augustus;31412.0;36305.0
21;Totaal landen;Totaal goederen;2016 september;33060.0;39031.0
22;Totaal landen;Totaal goederen;2016 oktober;33391.0;38145.0
23;Totaal landen;Totaal goederen;2016 november;34732.0;40977.0
24;Totaal landen;Totaal goederen;2016 december;33839.0;39714.0
25;Totaal landen;Totaal goederen;2016;386570.0;452049.0
26;Totaal landen;Totaal goederen;2017 januari;35213.0;41859.0
27;Totaal landen;Totaal goederen;2017 februari;34540.0;41399.0
28;Totaal landen;Totaal goederen;2017 maart;38920.0;47200.0
29;Totaal landen;Totaal goederen;2017 april;34137.0;39626.0
30;Totaal landen;Totaal goederen;2017 mei;37240.0;43159.0
31;Totaal landen;Totaal goederen;2017 juni;36338.0;43965.0
32;Totaal landen;Totaal goederen;2017 juli;34389.0;40612.0
33;Totaal landen;Totaal goederen;2017 augustus;35050.0;40560.0
34;Totaal landen;Totaal goederen;2017 september;35427.0;42865.0
35;Totaal landen;Totaal goederen;2017 oktober;36662.0;42197.0
36;Totaal landen;Totaal goederen;2017 november;38206.0;45114.0
37;Totaal landen;Totaal goederen;2017 december;35880.0;41238.0
38;Totaal landen;Totaal goederen;2017;432001.0;509794.0
39;Totaal landen;Totaal goederen;2018 januari;39308.0;44657.0
40;Totaal landen;Totaal goederen;2018 februari;37162.0;43414.0
41;Totaal landen;Totaal goederen;2018 maart;39803.0;47826.0
42;Totaal landen;Totaal goederen;2018 april;38057.0;43422.0
43;Totaal landen;Totaal goederen;2018 mei;39375.0;46726.0
44;Totaal landen;Totaal goederen;2018 juni;39779.0;46835.0
45;Totaal landen;Totaal goederen;2018 juli;38900.0;44960.0
46;Totaal landen;Totaal goederen;2018 augustus;39513.0;44809.0
47;Totaal landen;Totaal goederen;2018 september;38483.0;45796.0
48;Totaal landen;Totaal goederen;2018 oktober;42345.0;48542.0
49;Totaal landen;Totaal goederen;2018 november;40881.0;48756.0
50;Totaal landen;Totaal goederen;2018 december;38592.0;43469.0
51;Totaal landen;Totaal goederen;2018 ;472198.0;549211.0
52;Totaal landen;Totaal goederen;2019 januari;41333.0;46221.0
53;Totaal landen;Totaal goederen;2019 februari;39005.0;45924.0
54;Totaal landen;Totaal goederen;2019 maart;41911.0;49505.0
55;Totaal landen;Totaal goederen;2019 april;41723.0;47927.0
56;Totaal landen;Totaal goederen;2019 mei;42520.0;49437.0
57;Totaal landen;Totaal goederen;2019 juni;39674.0;46623.0
58;Totaal landen;Totaal goederen;2019 juli;41670.0;47425.0
59;Totaal landen;Totaal goederen;2019 augustus;38814.0;45411.0
60;Totaal landen;Totaal goederen;2019 september;40800.0;48071.0
61;Totaal landen;Totaal goederen;2019 oktober;43518.0;51413.0
62;Totaal landen;Totaal goederen;2019 november;42035.0;48982.0
63;Totaal landen;Totaal goederen;2019 december;41120.0;47631.0
64;Totaal landen;Totaal goederen;2019;494122.0;574568.0
65;Totaal landen;Totaal goederen;2020 januari;40976.0;47195.0
66;Totaal landen;Totaal goederen;2020 februari;38170.0;45201.0
67;Totaal landen;Totaal goederen;2020 maart;39680.0;47279.0
68;Totaal landen;Totaal goederen;2020 april;32399.0;36941.0
69;Totaal landen;Totaal goederen;2020 mei;32296.0;37325.0
70;Totaal landen;Totaal goederen;2020 juni;36615.0;42123.0
71;Totaal landen;Totaal goederen;2020 juli;37011.0;43839.0
72;Totaal landen;Totaal goederen;2020 augustus;34173.0;40134.0
73;Totaal landen;Totaal goederen;2020 september;38420.0;45931.0
74;Totaal landen;Totaal goederen;2020 oktober;38773.0;47587.0
75;Totaal landen;Totaal goederen;2020 november;39512.0;46360.0
76;Totaal landen;Totaal goederen;2020 december;39643.0;46210.0
77;Totaal landen;Totaal goederen;2020;447667.0;526126.0
78;Totaal landen;Totaal goederen;2021 januari;40374.0;48673.0
79;Totaal landen;Totaal goederen;2021 februari;40509.0;49540.0
80;Totaal landen;Totaal goederen;2021 maart;47912.0;58062.0
81;Totaal landen;Totaal goederen;2021 april;46549.0;55203.0
82;Totaal landen;Totaal goederen;2021 mei;46028.0;54317.0
83;Totaal landen;Totaal goederen;2021 juni;48894.0;58552.0
84;Totaal landen;Totaal goederen;2021 juli;49001.0;57928.0
85;Totaal landen;Totaal goederen;2021 augustus;48010.0;56101.0
86;Totaal landen;Totaal goederen;2021 september;51559.0;60867.0
87;Totaal landen;Totaal goederen;2021 oktober;53190.0;60300.0
88;Totaal landen;Totaal goederen;2021 november;57251.0;64409.0
89;Totaal landen;Totaal goederen;2021 december;55692.0;63573.0
90;Totaal landen;Totaal goederen;2021;584970.0;687524.0
91;Totaal landen;Totaal goederen;2022 januari;55699.0;62816.0
92;Totaal landen;Totaal goederen;2022 februari;53491.0;62739.0
93;Totaal landen;Totaal goederen;2022 maart;63927.0;72913.0
94;Totaal landen;Totaal goederen;2022 april;61280.0;69217.0
95;Totaal landen;Totaal goederen;2022 mei;66235.0;74114.0
96;Totaal landen;Totaal goederen;2022 juni;66378.0;76635.0
97;Totaal landen;Totaal goederen;2022 juli;63506.0;73059.0
98;Totaal landen;Totaal goederen;2022 augustus;67093.0;74340.0
99;Totaal landen;Totaal goederen;2022 september;70315.0;81661.0
100;Totaal landen;Totaal goederen;2022 oktober;70818.0;79578.0
101;Totaal landen;Totaal goederen;2022 november;67795.0;80035.0
102;Totaal landen;Totaal goederen;2022 december;63882.0;74635.0
103;Totaal landen;Totaal goederen;2022;770421.0;881742.0
104;Totaal landen;Totaal goederen;2023 januari;64985.0;71551.0
105;Totaal landen;Totaal goederen;2023 februari;59665.0;70713.0
106;Totaal landen;Totaal goederen;2023 maart;64658.0;76658.0
107;Totaal landen;Totaal goederen;2023 april;56572.0;63398.0
108;Totaal landen;Totaal goederen;2023 mei;59298.0;69626.0
109;Totaal landen;Totaal goederen;2023 juni;57804.0;71027.0
110;Totaal landen;Totaal goederen;2023 juli;56721.0;66869.0
111;Totaal landen;Totaal goederen;2023 augustus;56160.0;68471.0
112;Totaal landen;Totaal goederen;2023 september;56189.0;71598.0
113;Totaal landen;Totaal goederen;2023 oktober;59116.0;69453.0
114;Totaal landen;Totaal goederen;2023 november;56977.0;69988.0
115;Totaal landen;Totaal goederen;2023 december;54036.0;64635.0
116;Totaal landen;Totaal goederen;2023;702181.0;833988.0
117;Totaal landen;Totaal goederen;2024 januari;53210.0;65497.0
118;Totaal landen;Totaal goederen;2024 februari;54448.0;65280.0
119;Totaal landen;Totaal goederen;2024 maart;57056.0;70384.0
120;Totaal landen;Totaal goederen;2024 april;57252.0;68479.0
121;Totaal landen;Totaal goederen;2024 mei;57995.0;68367.0
122;Totaal landen;Totaal goederen;2024 juni;56238.0;68136.0
123;Totaal landen;Totaal goederen;2024 juli;59545.0;70462.0
124;Totaal landen;Totaal goederen;2024 augustus;54532.0;63928.0
125;Totaal landen;Totaal goederen;2024 september;55772.0;68412.0
126;Totaal landen;Totaal goederen;2024 oktober;59723.0;70512.0
127;Totaal landen;Totaal goederen;2024 november;57128.0;69564.0
128;Totaal landen;Totaal goederen;2024 december;55601.0;65818.0
129;Totaal landen;Totaal goederen;2024;678498.0;814839.0
130;Totaal landen;Totaal goederen;2025 januari;56122.0;67507.0
131;Totaal landen;0 Voeding en levende dieren;2015 januari;2913.0;4180.0
132;Totaal landen;0 Voeding en levende dieren;2015 februari;2786.0;4127.0
133;Totaal landen;0 Voeding en levende dieren;2015 maart;3228.0;4735.0
134;Totaal landen;0 Voeding en levende dieren;2015 april;2970.0;4594.0
135;Totaal landen;0 Voeding en levende dieren;2015 mei;2910.0;4549.0
136;Totaal landen;0 Voeding en levende dieren;2015 juni;3135.0;4731.0
137;Totaal landen;0 Voeding en levende dieren;2015 juli;2999.0;4632.0
138;Totaal landen;0 Voeding en levende dieren;2015 augustus;2794.0;4359.0
139;Totaal landen;0 Voeding en levende dieren;2015 september;2942.0;4719.0
140;Totaal landen;0 Voeding en levende dieren;2015 oktober;3016.0;4800.0
141;Totaal landen;0 Voeding en levende dieren;2015 november;3100.0;4638.0
142;Totaal landen;0 Voeding en levende dieren;2015 december;3248.0;4687.0
143;Totaal landen;0 Voeding en levende dieren;2015 ;36042.0;54750.0
144;Totaal landen;0 Voeding en levende dieren;2016 januari;2780.0;4281.0
145;Totaal landen;0 Voeding en levende dieren;2016 februari;2893.0;4508.0
146;Totaal landen;0 Voeding en levende dieren;2016 maart;3130.0;4940.0
147;Totaal landen;0 Voeding en levende dieren;2016 april;3004.0;4822.0
148;Totaal landen;0 Voeding en levende dieren;2016 mei;3117.0;4882.0
149;Totaal landen;0 Voeding en levende dieren;2016 juni;3270.0;4894.0
150;Totaal landen;0 Voeding en levende dieren;2016 juli;2895.0;4615.0
151;Totaal landen;0 Voeding en levende dieren;2016 augustus;2936.0;4848.0
152;Totaal landen;0 Voeding en levende dieren;2016 september;3102.0;4869.0
153;Totaal landen;0 Voeding en levende dieren;2016 oktober;3031.0;4847.0
154;Totaal landen;0 Voeding en levende dieren;2016 november;3244.0;5002.0
155;Totaal landen;0 Voeding en levende dieren;2016 december;3289.0;5000.0
156;Totaal landen;0 Voeding en levende dieren;2016;36690.0;57507.0
157;Totaal landen;0 Voeding en levende dieren;2017 januari;3240.0;4750.0
