ID;Landen;GN;Perioden;TotaleInvoerwaarde_1;TotaleInvoerhoeveelheid_2;TotaleUitvoerwaarde_3;TotaleUitvoerhoeveelheid_4;EenheidHoeveelheid_5
0;Totaal landen;"84011000 Kernreactoren ""Euratom""";2015;0.0;0.0;;;mln kg                   
1;Totaal landen;"84011000 Kernreactoren ""Euratom""";2016;0.0;0.0;0.0;0.0;mln kg                   
2;Totaal landen;"84011000 Kernreactoren ""Euratom""";2017;0.0;0.0;1.0;0.0;mln kg                   
3;Totaal landen;"84011000 Kernreactoren ""Euratom""";2018;2.0;0.0;0.0;0.0;mln kg                   
4;Totaal landen;"84011000 Kernreactoren ""Euratom""";2019;1.0;1.0;0.0;0.0;mln kg                   
5;Totaal landen;"84011000 Kernreactoren ""Euratom""";2020;1.0;0.0;0.0;0.0;mln kg                   
6;Totaal landen;"84011000 Kernreactoren ""Euratom""";2021;;;;;mln kg                   
7;Totaal landen;"84011000 Kernreactoren ""Euratom""";2022;0.0;0.0;0.0;0.0;mln kg                   
8;Totaal landen;"84011000 Kernreactoren ""Euratom""";2023;0.0;0.0;0.0;0.0;mln kg                   
9;Totaal landen;84012000 Machines en apparaten voor i...;2015;49.0;1.0;108.0;3.0;mln kg                   
10;Totaal landen;84012000 Machines en apparaten voor i...;2016;28.0;1.0;65.0;1.0;mln kg                   
11;Totaal landen;84012000 Machines en apparaten voor i...;2017;25.0;1.0;35.0;1.0;mln kg                   
12;Totaal landen;84012000 Machines en apparaten voor i...;2018;29.0;1.0;13.0;0.0;mln kg                   
13;Totaal landen;84012000 Machines en apparaten voor i...;2019;14.0;0.0;11.0;0.0;mln kg                   
14;Totaal landen;84012000 Machines en apparaten voor i...;2020;7.0;0.0;20.0;0.0;mln kg                   
15;Totaal landen;84012000 Machines en apparaten voor i...;2021;;;;;mln kg                   
16;Totaal landen;84012000 Machines en apparaten voor i...;2022;18.0;1.0;14.0;0.0;mln kg                   
17;Totaal landen;84012000 Machines en apparaten voor i...;2023;41.0;1.0;32.0;0.0;mln kg                   
18;Totaal landen;84013000 Niet-bestraalde splijtstofel...;2015;;;0.0;0.0;mln gi f/s               
19;Totaal landen;84013000 Niet-bestraalde splijtstofel...;2016;2.0;0.0;0.0;0.0;mln gi f/s               
20;Totaal landen;84013000 Niet-bestraalde splijtstofel...;2017;2.0;0.0;0.0;0.0;mln gi f/s               
21;Totaal landen;84013000 Niet-bestraalde splijtstofel...;2018;19.0;0.0;0.0;0.0;mln gi f/s               
22;Totaal landen;84013000 Niet-bestraalde splijtstofel...;2019;3.0;0.0;0.0;0.0;mln gi f/s               
23;Totaal landen;84013000 Niet-bestraalde splijtstofel...;2020;3.0;0.0;1.0;0.0;mln gi f/s               
24;Totaal landen;84013000 Niet-bestraalde splijtstofel...;2021;;;;;mln gi f/s               
25;Totaal landen;84013000 Niet-bestraalde splijtstofel...;2022;0.0;0.0;0.0;0.0;mln gi f/s               
26;Totaal landen;84013000 Niet-bestraalde splijtstofel...;2023;;;0.0;0.0;mln gi f/s               
27;Totaal landen;84014000 Delen van kernreactoren, n.e...;2015;0.0;0.0;0.0;0.0;mln kg                   
28;Totaal landen;84014000 Delen van kernreactoren, n.e...;2016;1.0;0.0;0.0;0.0;mln kg                   
29;Totaal landen;84014000 Delen van kernreactoren, n.e...;2017;0.0;0.0;0.0;0.0;mln kg                   
30;Totaal landen;84014000 Delen van kernreactoren, n.e...;2018;1.0;0.0;0.0;0.0;mln kg                   
31;Totaal landen;84014000 Delen van kernreactoren, n.e...;2019;0.0;0.0;0.0;0.0;mln kg                   
32;Totaal landen;84014000 Delen van kernreactoren, n.e...;2020;0.0;0.0;0.0;0.0;mln kg                   
33;Totaal landen;84014000 Delen van kernreactoren, n.e...;2021;;;;;mln kg                   
34;Totaal landen;84014000 Delen van kernreactoren, n.e...;2022;0.0;0.0;0.0;0.0;mln kg                   
35;Totaal landen;84014000 Delen van kernreactoren, n.e...;2023;0.0;0.0;0.0;0.0;mln kg                   
36;Totaal landen;84021100 Waterpijpketels met een stro...;2015;2.0;0.0;4.0;0.0;mln kg                   
37;Totaal landen;84021100 Waterpijpketels met een stro...;2016;8.0;0.0;0.0;0.0;mln kg                   
38;Totaal landen;84021100 Waterpijpketels met een stro...;2017;8.0;0.0;0.0;0.0;mln kg                   
