ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;CountriesOfOrigin;Periods;JobsForeignBornEmployees_1
0;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 1st quarter;635.4
1;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 2nd quarter;669.9
2;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 3rd quarter;684.3
3;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 4th quarter;677.8
4;Total jobs;Total employees;A-U All economic activities;Total;Total;2010;667.0
5;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 1st quarter;662.8
6;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 2nd quarter;697.1
7;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 3rd quarter;705.1
8;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 4th quarter;688.6
9;Total jobs;Total employees;A-U All economic activities;Total;Total;2011;688.5
10;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 1st quarter;670.7
11;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 2nd quarter;698.9
12;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 3rd quarter;702.6
13;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 4th quarter;685.6
14;Total jobs;Total employees;A-U All economic activities;Total;Total;2012;689.5
15;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 1st quarter;654.8
16;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 2nd quarter;678.1
17;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 3rd quarter;684.1
18;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 4th quarter;674.2
19;Total jobs;Total employees;A-U All economic activities;Total;Total;2013;672.9
20;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 1st quarter;654.7
21;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 2nd quarter;684.7
22;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 3rd quarter;696.3
23;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 4th quarter;688.1
24;Total jobs;Total employees;A-U All economic activities;Total;Total;2014;681.1
25;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 1st quarter;675.5
26;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 2nd quarter;708.2
27;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 3rd quarter;723.8
28;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 4th quarter;720.5
29;Total jobs;Total employees;A-U All economic activities;Total;Total;2015;707.2
30;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 1st quarter;701.8
31;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 2nd quarter;740.8
32;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 3rd quarter;760.4
33;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 4th quarter;763.7
34;Total jobs;Total employees;A-U All economic activities;Total;Total;2016;741.8
35;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 1st quarter;755.3
36;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 2nd quarter;802.7
37;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 3rd quarter;830.3
38;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 4th quarter;843.7
39;Total jobs;Total employees;A-U All economic activities;Total;Total;2017;808.3
40;Total jobs;Total employees;A-U All economic activities;Total;Total;2018 1st quarter;837.2
41;Total jobs;Total employees;A-U All economic activities;Total;Total;2018 2nd quarter;886.1
42;Total jobs;Total employees;A-U All economic activities;Total;Total;2018 3rd quarter;915.5
43;Total jobs;Total employees;A-U All economic activities;Total;Total;2018 4th quarter;930.9
44;Total jobs;Total employees;A-U All economic activities;Total;Total;2018;892.8
45;Total jobs;Total employees;A-U All economic activities;Total;Total;2019 1st quarter;917.5
46;Total jobs;Total employees;A-U All economic activities;Total;Total;2019 2nd quarter;959.7
47;Total jobs;Total employees;A-U All economic activities;Total;Total;2019 3rd quarter;981.9
48;Total jobs;Total employees;A-U All economic activities;Total;Total;2019 4th quarter;991.8
49;Total jobs;Total employees;A-U All economic activities;Total;Total;2019;963.0
50;Total jobs;Total employees;A-U All economic activities;Total;Total;2020 1st quarter;969.0
51;Total jobs;Total employees;A-U All economic activities;Total;Total;2020 2nd quarter;939.7
52;Total jobs;Total employees;A-U All economic activities;Total;Total;2020 3rd quarter;971.6
53;Total jobs;Total employees;A-U All economic activities;Total;Total;2020 4th quarter;969.7
54;Total jobs;Total employees;A-U All economic activities;Total;Total;2020;962.5
55;Total jobs;Total employees;A-U All economic activities;Total;Total;2021 1st quarter;944.2
56;Total jobs;Total employees;A-U All economic activities;Total;Total;2021 2nd quarter;997.0
57;Total jobs;Total employees;A-U All economic activities;Total;Total;2021 3rd quarter;1037.2
58;Total jobs;Total employees;A-U All economic activities;Total;Total;2021 4th quarter;1068.7
59;Total jobs;Total employees;A-U All economic activities;Total;Total;2021;1012.2
60;Total jobs;Total employees;A-U All economic activities;Total;Total;2022 1st quarter;1067.1
61;Total jobs;Total employees;A-U All economic activities;Total;Total;2022 2nd quarter;1132.7
62;Total jobs;Total employees;A-U All economic activities;Total;Total;2022 3rd quarter;1168.7
63;Total jobs;Total employees;A-U All economic activities;Total;Total;2022 4th quarter;1192.1
64;Total jobs;Total employees;A-U All economic activities;Total;Total;2022;1140.6
65;Total jobs;Total employees;A-U All economic activities;Total;Total;2023 1st quarter;1194.1
66;Total jobs;Total employees;A-U All economic activities;Total;Total;2023 2nd quarter;1243.2
67;Total jobs;Total employees;A-U All economic activities;Total;Total;2023 3rd quarter;1258.3
68;Total jobs;Total employees;A-U All economic activities;Total;Total;2023 4th quarter;1274.0
69;Total jobs;Total employees;A-U All economic activities;Total;Total;2023;1242.6
70;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2010 1st quarter;292.0
71;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2010 2nd quarter;319.9
72;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2010 3rd quarter;334.8
73;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2010 4th quarter;329.3
74;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2010;319.1
75;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2011 1st quarter;320.6
76;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2011 2nd quarter;348.3
77;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2011 3rd quarter;358.1
78;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding the Netherlands);2011 4th quarter;343.9
