ID;Geslacht;Leeftijd;WijkenEnBuurten;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7
0;Totaal mannen en vrouwen;15 tot 75 jaar;Nederland;13140640;9116980;69.0;83.0;56.0;27.0;17.0
1;Totaal mannen en vrouwen;15 tot 75 jaar;Aa en Hunze;18830;12760;68.0;80.0;58.0;22.0;20.0
2;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 00 Annen;2650;1850;70.0;82.0;61.0;21.0;18.0
3;Totaal mannen en vrouwen;15 tot 75 jaar;Annen;2520;1770;70.0;84.0;62.0;22.0;16.0
4;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Annen;130;90;;;;;
5;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 01 Eext;1130;800;70.0;78.0;57.0;20.0;22.0
6;Totaal mannen en vrouwen;15 tot 75 jaar;Eext;980;710;72.0;81.0;59.0;21.0;19.0
7;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Eext;150;90;62.0;;;;
8;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 02 Anloo;290;200;68.0;79.0;63.0;16.0;21.0
9;Totaal mannen en vrouwen;15 tot 75 jaar;Anloo;240;160;67.0;77.0;61.0;16.0;23.0
10;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Anloo;50;40;;;;;
11;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 03 Gasteren;320;230;69.0;75.0;57.0;18.0;25.0
12;Totaal mannen en vrouwen;15 tot 75 jaar;Gasteren;310;220;70.0;75.0;57.0;18.0;25.0
13;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gasteren;10;10;;;;;
14;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 04 Anderen;200;150;72.0;69.0;50.0;20.0;31.0
15;Totaal mannen en vrouwen;15 tot 75 jaar;Anderen;180;130;70.0;;;;
16;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Anderen;20;20;;;;;
17;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 05 Schipborg;440;250;57.0;75.0;59.0;17.0;25.0
18;Totaal mannen en vrouwen;15 tot 75 jaar;Schipborg;400;230;57.0;77.0;60.0;17.0;23.0
19;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Schipborg;40;20;;;;;
20;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 06 Eexterveen;380;300;79.0;80.0;62.0;18.0;20.0
21;Totaal mannen en vrouwen;15 tot 75 jaar;Eexterveen;360;290;79.0;80.0;62.0;18.0;20.0
22;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Eexterveen;10;10;;;;;
23;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 07 Spijkerboor;130;90;;;;;
24;Totaal mannen en vrouwen;15 tot 75 jaar;Spijkerboor;130;90;;;;;
25;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Spijkerboor;0;0;;;;;
26;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 08 Nieuw-Annerveen;90;60;;;;;
27;Totaal mannen en vrouwen;15 tot 75 jaar;Nieuw-Annerveen;80;60;;;;;
28;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Nieuw-Annerveen;10;10;;;;;
29;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 09 Oud-Annerveen;100;70;;;;;
30;Totaal mannen en vrouwen;15 tot 75 jaar;Oud-Annerveen;100;60;;;;;
31;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Oud-Annerveen;10;0;;;;;
32;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 11 Annerveenschekanaal;320;240;73.0;82.0;59.0;24.0;18.0
33;Totaal mannen en vrouwen;15 tot 75 jaar;Annerveenschekanaal;320;240;73.0;82.0;59.0;24.0;18.0
34;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Annerveenschekanaal;0;0;;;;;
35;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 12 Eexterveenschekanaal;190;120;60.0;;;;
36;Totaal mannen en vrouwen;15 tot 75 jaar;Eexterveenschekanaal;190;110;60.0;;;;
37;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Eexterveenschekanaal;10;0;;;;;
38;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 13 Eexterzandvoort;110;80;;;;;
39;Totaal mannen en vrouwen;15 tot 75 jaar;Eexterzandvoort;80;60;;;;;
40;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Eexterzandvoort;30;20;;;;;
