ID;Sex;Age;Nationality;Periods;PopulationOn1January_1
0;Total male and female;Total;Total;2014;16829289.0
1;Total male and female;Total;Total;2015;16900726.0
2;Total male and female;Total;Total;2016;16979120.0
3;Total male and female;Total;Total;2017;17081507.0
4;Total male and female;Total;Total;2018;17181084.0
5;Total male and female;Total;Total;2019;17282163.0
6;Total male and female;Total;Total;2020;17407585.0
7;Total male and female;Total;Total;2021;17475415.0
8;Total male and female;Total;Total;2022;17590672.0
9;Total male and female;Total;Total;2023;17811291.0
10;Total male and female;Total;Total;2024;17942942.0
11;Total male and female;Total;Dutch;2014;16013229.0
12;Total male and female;Total;Dutch;2015;16053457.0
13;Total male and female;Total;Dutch;2016;16078619.0
14;Total male and female;Total;Dutch;2017;16109209.0
15;Total male and female;Total;Dutch;2018;16140279.0
16;Total male and female;Total;Dutch;2019;16171304.0
17;Total male and female;Total;Dutch;2020;16215228.0
18;Total male and female;Total;Dutch;2021;16272450.0
19;Total male and female;Total;Dutch;2022;16334426.0
20;Total male and female;Total;Dutch;2023;16365940.0
21;Total male and female;Total;Dutch;2024;16398845.0
22;Total male and female;Total;Total non-Dutch nationality;2014;816060.0
23;Total male and female;Total;Total non-Dutch nationality;2015;847269.0
24;Total male and female;Total;Total non-Dutch nationality;2016;900501.0
25;Total male and female;Total;Total non-Dutch nationality;2017;972298.0
26;Total male and female;Total;Total non-Dutch nationality;2018;1040805.0
27;Total male and female;Total;Total non-Dutch nationality;2019;1110859.0
28;Total male and female;Total;Total non-Dutch nationality;2020;1192357.0
29;Total male and female;Total;Total non-Dutch nationality;2021;1202965.0
30;Total male and female;Total;Total non-Dutch nationality;2022;1256246.0
31;Total male and female;Total;Total non-Dutch nationality;2023;1445351.0
32;Total male and female;Total;Total non-Dutch nationality;2024;1544097.0
33;Total male and female;Total;Europe (excluding Dutch nationals);2014;426022.0
34;Total male and female;Total;Europe (excluding Dutch nationals);2015;454962.0
35;Total male and female;Total;Europe (excluding Dutch nationals);2016;484515.0
36;Total male and female;Total;Europe (excluding Dutch nationals);2017;517177.0
37;Total male and female;Total;Europe (excluding Dutch nationals);2018;555868.0
38;Total male and female;Total;Europe (excluding Dutch nationals);2019;600897.0
39;Total male and female;Total;Europe (excluding Dutch nationals);2020;653103.0
40;Total male and female;Total;Europe (excluding Dutch nationals);2021;685575.0
41;Total male and female;Total;Europe (excluding Dutch nationals);2022;737656.0
42;Total male and female;Total;Europe (excluding Dutch nationals);2023;882741.0
43;Total male and female;Total;Europe (excluding Dutch nationals);2024;944033.0
44;Total male and female;Total;Outside Europe;2014;307386.0
45;Total male and female;Total;Outside Europe;2015;314745.0
46;Total male and female;Total;Outside Europe;2016;341934.0
47;Total male and female;Total;Outside Europe;2017;385343.0
