ID;Geslacht;GeboortelandOuders;Herkomstland;OnderwijspositieBasisjaar;Sectorkamer;PositieInVolgendStudiejaar;Perioden;StudentenMbo_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2011/'12 naar 2012/'13;519960
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2012/'13 naar 2013/'14;510860
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2013/'14 naar 2014/'15;498110
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2014/'15 naar 2015/'16;481410
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2015/'16 naar 2016/'17;476280
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2016/'17 naar 2017/'18;483360
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2017/'18 naar 2018/'19;487110
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2018/'19 naar 2019/'20;497110
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2019/'20 naar 2020/'21;503010
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2020/'21 naar 2021/'22;508770
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2021/'22 naar 2022/'23;502270
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal;2022/'23 naar 2023/'24;482800
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;2011/'12 naar 2012/'13;367660
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;2012/'13 naar 2013/'14;365800
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;2013/'14 naar 2014/'15;360370
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;2014/'15 naar 2015/'16;351320
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal mbo (excl. extranei);Totaal;Totaal in onderwijs;2015/'16 naar 2016/'17;356200
