ID;Kenmerken;Marges;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidFinancieleSituatie_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreZorgenOverFinancieleToekomst_13;GeenZorgen_14;WeinigZorgen_15;VeelZorgen_16
0;Totaal personen;Waarde;2013;7.7;2.5;10.0;87.5;7.5;3.4;13.0;83.6;6.9;9.3;22.4;68.3;5.1;39.8;27.9;32.2
1;Totaal personen;Waarde;2014;7.7;2.4;9.7;87.9;7.6;3.3;12.1;84.6;7.0;8.9;20.1;70.9;4.9;44.6;25.7;29.7
2;Totaal personen;Waarde;2015;7.7;2.8;9.8;87.4;7.5;3.9;12.2;83.9;7.0;8.6;20.9;70.5;4.9;45.2;25.5;29.4
3;Totaal personen;Waarde;2016;7.7;2.6;9.1;88.3;7.6;3.0;11.8;85.2;7.2;7.3;19.6;73.1;4.8;47.0;25.3;27.6
4;Totaal personen;Waarde;2017;7.7;2.8;9.8;87.5;7.6;3.5;11.1;85.4;7.2;7.0;18.0;74.9;4.6;49.5;24.3;26.2
5;Totaal personen;Waarde;2018;7.7;2.8;9.4;87.7;7.6;2.4;11.8;85.7;7.3;6.7;17.2;76.0;4.5;52.1;22.8;25.1
6;Totaal personen;Waarde;2019;7.7;2.6;8.5;88.9;7.7;2.4;10.3;87.3;7.3;6.7;16.1;77.2;4.5;51.5;23.2;25.2
7;Totaal personen;Waarde;2020;7.7;2.7;10.5;86.8;7.6;2.7;12.4;84.8;7.5;5.9;14.6;79.5;4.4;54.0;21.8;24.2
8;Totaal personen;Waarde;2021;7.6;3.3;10.3;86.4;7.5;3.3;13.0;83.6;7.6;5.2;12.9;81.9;4.2;58.2;19.3;22.5
9;Totaal personen;Waarde;2022;7.6;2.8;11.1;86.1;7.5;3.1;13.5;83.4;7.4;6.2;17.2;76.6;4.6;50.9;20.4;28.6
10;Totaal personen;Waarde;2023;7.6;2.3;11.1;86.6;7.5;2.9;12.9;84.2;7.4;6.4;16.6;77.0;4.6;50.3;21.0;28.7
11;Totaal personen;Ondergrens 95%-interval;2013;7.7;2.1;9.2;86.6;7.5;3.0;12.1;82.6;6.9;8.5;21.4;67.2;5.1;38.6;26.8;31.1
12;Totaal personen;Ondergrens 95%-interval;2014;7.7;2.0;9.0;87.1;7.5;2.9;11.3;83.7;7.0;8.2;19.2;69.8;4.8;43.4;24.7;28.6
13;Totaal personen;Ondergrens 95%-interval;2015;7.7;2.4;9.1;86.6;7.5;3.4;11.4;83.0;7.0;8.0;19.9;69.3;4.8;44.0;24.4;28.3
14;Totaal personen;Ondergrens 95%-interval;2016;7.7;2.2;8.4;87.5;7.6;2.6;11.0;84.3;7.1;6.6;18.7;72.0;4.7;45.8;24.3;26.6
15;Totaal personen;Ondergrens 95%-interval;2017;7.7;2.4;9.0;86.6;7.6;3.1;10.3;84.5;7.2;6.4;17.1;73.8;4.5;48.3;23.3;25.1
16;Totaal personen;Ondergrens 95%-interval;2018;7.6;2.4;8.7;86.9;7.6;2.1;11.0;84.8;7.3;6.1;16.3;75.0;4.4;50.9;21.8;24.0
17;Totaal personen;Ondergrens 95%-interval;2019;7.7;2.2;7.8;88.1;7.6;2.0;9.6;86.4;7.3;6.1;15.2;76.1;4.4;50.3;22.2;24.2
18;Totaal personen;Ondergrens 95%-interval;2020;7.6;2.3;9.7;85.9;7.6;2.4;11.6;83.9;7.4;5.3;13.7;78.5;4.3;52.8;20.8;23.1
19;Totaal personen;Ondergrens 95%-interval;2021;7.6;2.8;9.5;85.4;7.5;2.8;12.2;82.6;7.6;4.6;12.0;80.9;4.1;56.9;18.3;21.3
20;Totaal personen;Ondergrens 95%-interval;2022;7.6;2.5;10.4;85.2;7.5;2.7;12.7;82.4;7.3;5.7;16.3;75.5;4.6;49.8;19.5;27.6
21;Totaal personen;Ondergrens 95%-interval;2023;7.6;1.9;10.4;85.7;7.5;2.5;12.1;83.2;7.3;5.8;15.7;76.0;4.6;49.1;20.1;27.6
