ID;Voertuigsoort;KenmerkenVrachtautoSEnTrekkers;BedrijfstakkenBranchesSBI2008;Perioden;VoertuigenInGebruik_1;KilometersNederlandseVoertuigen_2;GemiddeldJaarkilometrage_3
0;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2018;151535.0;9205.7;60750.0
1;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2019;154790.0;9114.1;58880.0
2;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2020;151587.0;8904.9;58744.0
3;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2021;152050.0;9214.3;60600.0
4;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2022;156477.0;9194.2;58758.0
5;Vrachtauto's en trekkers voor oplegger;Totaal;A-U Alle economische activiteiten;2023;161410.0;8972.5;55588.0
6;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2018;11943.0;498.5;41740.0
7;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2019;12422.0;502.7;40472.0
8;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2020;12124.0;480.4;39625.0
9;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2021;12283.0;499.5;40663.0
10;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2022;12159.0;482.4;39671.0
11;Vrachtauto's en trekkers voor oplegger;Totaal;B-E Nijverheid (geen bouw) en energie;2023;12309.0;471.1;38277.0
12;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2018;105385.0;7646.4;72557.0
13;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2019;107294.0;7541.1;70285.0
14;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2020;104068.0;7400.9;71116.0
15;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2021;104682.0;7648.9;73068.0
16;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2022;108004.0;7621.9;70571.0
17;Vrachtauto's en trekkers voor oplegger;Totaal;G-I Handel, vervoer en horeca;2023;112136.0;7460.2;66529.0
18;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2018;9535.0;353.6;37082.0
19;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2019;9876.0;353.2;35762.0
20;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2020;9818.0;334.3;34051.0
21;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2021;9612.0;352.0;36621.0
22;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2022;9811.0;338.9;34538.0
23;Vrachtauto's en trekkers voor oplegger;Totaal;M-N Zakelijke dienstverlening;2023;9841.0;299.3;30416.0
24;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2018;2670.0;41.4;15492.0
25;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2019;2750.0;43.1;15665.0
26;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2020;2898.0;40.2;13872.0
27;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2021;2908.0;43.6;15003.0
28;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2022;2907.0;45.8;15758.0
29;Vrachtauto's en trekkers voor oplegger;Totaal;O-Q Overheid en zorg;2023;3107.0;47.5;15288.0
30;Vrachtauto's en trekkers voor oplegger;Totaal;R-U Cultuur, recreatie, overige diensten;2018;3210.0;73.3;22843.0
31;Vrachtauto's en trekkers voor oplegger;Totaal;R-U Cultuur, recreatie, overige diensten;2019;3182.0;70.2;22071.0
32;Vrachtauto's en trekkers voor oplegger;Totaal;R-U Cultuur, recreatie, overige diensten;2020;3283.0;57.0;17355.0
33;Vrachtauto's en trekkers voor oplegger;Totaal;R-U Cultuur, recreatie, overige diensten;2021;2918.0;53.7;18388.0
34;Vrachtauto's en trekkers voor oplegger;Totaal;R-U Cultuur, recreatie, overige diensten;2022;3190.0;65.7;20592.0
35;Vrachtauto's en trekkers voor oplegger;Totaal;R-U Cultuur, recreatie, overige diensten;2023;3280.0;68.1;20751.0
36;Vrachtauto's en trekkers voor oplegger;Totaal;A Landbouw, bosbouw en visserij;2018;6329.0;225.4;35621.0
37;Vrachtauto's en trekkers voor oplegger;Totaal;A Landbouw, bosbouw en visserij;2019;6543.0;232.0;35462.0
38;Vrachtauto's en trekkers voor oplegger;Totaal;A Landbouw, bosbouw en visserij;2020;6527.0;224.1;34340.0
39;Vrachtauto's en trekkers voor oplegger;Totaal;A Landbouw, bosbouw en visserij;2021;6715.0;243.0;36181.0
40;Vrachtauto's en trekkers voor oplegger;Totaal;A Landbouw, bosbouw en visserij;2022;6900.0;247.7;35891.0
41;Vrachtauto's en trekkers voor oplegger;Totaal;A Landbouw, bosbouw en visserij;2023;6975.0;237.7;34076.0
42;Vrachtauto's en trekkers voor oplegger;Totaal;B Delfstoffenwinning;2018;246.0;8.8;35750.0
43;Vrachtauto's en trekkers voor oplegger;Totaal;B Delfstoffenwinning;2019;244.0;8.3;34086.0
44;Vrachtauto's en trekkers voor oplegger;Totaal;B Delfstoffenwinning;2020;250.0;9.5;38017.0
45;Vrachtauto's en trekkers voor oplegger;Totaal;B Delfstoffenwinning;2021;206.0;7.6;37018.0
46;Vrachtauto's en trekkers voor oplegger;Totaal;B Delfstoffenwinning;2022;205.0;7.2;35177.0
47;Vrachtauto's en trekkers voor oplegger;Totaal;B Delfstoffenwinning;2023;192.0;6.8;35192.0
48;Vrachtauto's en trekkers voor oplegger;Totaal;C Industrie;2018;7179.0;288.6;40208.0
49;Vrachtauto's en trekkers voor oplegger;Totaal;C Industrie;2019;7432.0;294.8;39673.0
50;Vrachtauto's en trekkers voor oplegger;Totaal;C Industrie;2020;7251.0;271.9;37503.0
51;Vrachtauto's en trekkers voor oplegger;Totaal;C Industrie;2021;7382.0;286.2;38774.0
52;Vrachtauto's en trekkers voor oplegger;Totaal;C Industrie;2022;7246.0;276.1;38101.0
53;Vrachtauto's en trekkers voor oplegger;Totaal;C Industrie;2023;7281.0;271.0;37226.0
54;Vrachtauto's en trekkers voor oplegger;Totaal;D Energievoorziening;2018;56.0;1.1;20361.0
55;Vrachtauto's en trekkers voor oplegger;Totaal;D Energievoorziening;2019;56.0;1.1;19419.0
56;Vrachtauto's en trekkers voor oplegger;Totaal;D Energievoorziening;2020;71.0;1.3;18688.0
57;Vrachtauto's en trekkers voor oplegger;Totaal;D Energievoorziening;2021;82.0;1.7;20656.0
58;Vrachtauto's en trekkers voor oplegger;Totaal;D Energievoorziening;2022;121.0;3.1;25851.0
59;Vrachtauto's en trekkers voor oplegger;Totaal;D Energievoorziening;2023;137.0;3.5;25521.0
60;Vrachtauto's en trekkers voor oplegger;Totaal;E Waterbedrijven en afvalbeheer;2018;4462.0;199.9;44803.0
61;Vrachtauto's en trekkers voor oplegger;Totaal;E Waterbedrijven en afvalbeheer;2019;4690.0;198.5;42323.0
62;Vrachtauto's en trekkers voor oplegger;Totaal;E Waterbedrijven en afvalbeheer;2020;4552.0;197.7;43421.0
63;Vrachtauto's en trekkers voor oplegger;Totaal;E Waterbedrijven en afvalbeheer;2021;4613.0;203.9;44204.0
64;Vrachtauto's en trekkers voor oplegger;Totaal;E Waterbedrijven en afvalbeheer;2022;4587.0;195.9;42715.0
65;Vrachtauto's en trekkers voor oplegger;Totaal;E Waterbedrijven en afvalbeheer;2023;4699.0;189.8;40402.0
66;Vrachtauto's en trekkers voor oplegger;Totaal;F Bouwnijverheid;2018;9990.0;273.8;27408.0
67;Vrachtauto's en trekkers voor oplegger;Totaal;F Bouwnijverheid;2019;10376.0;281.2;27101.0
68;Vrachtauto's en trekkers voor oplegger;Totaal;F Bouwnijverheid;2020;10596.0;283.4;26742.0
69;Vrachtauto's en trekkers voor oplegger;Totaal;F Bouwnijverheid;2021;10680.0;290.9;27242.0
70;Vrachtauto's en trekkers voor oplegger;Totaal;F Bouwnijverheid;2022;10886.0;294.4;27044.0
71;Vrachtauto's en trekkers voor oplegger;Totaal;F Bouwnijverheid;2023;11152.0;289.7;25973.0
72;Vrachtauto's en trekkers voor oplegger;Totaal;G Handel;2018;30907.0;1424.2;46079.0
