ID;Voertuigsoort;BedrijfstakkenBranchesSBI2008;KenmerkenVrachtautoSEnTrekkers;Perioden;VoertuigenInGebruik_1
0;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Totaal;2018;151535
1;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Totaal;2019;154790
2;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Totaal;2020;151587
3;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Totaal;2021;152050
4;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Totaal;2022;156477
5;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Totaal;2023;161410
6;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;leeftijd: jonger dan 1 jaar;2018;14028
7;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;leeftijd: jonger dan 1 jaar;2019;13776
8;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;leeftijd: jonger dan 1 jaar;2020;9237
9;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;leeftijd: jonger dan 1 jaar;2021;10274
10;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;leeftijd: jonger dan 1 jaar;2022;11519
11;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;leeftijd: jonger dan 1 jaar;2023;14674
12;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 1 of 2 jaar;2018;26044
13;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 1 of 2 jaar;2019;26477
14;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 1 of 2 jaar;2020;27461
15;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 1 of 2 jaar;2021;22808
16;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 1 of 2 jaar;2022;19221
17;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 1 of 2 jaar;2023;21427
18;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 3 of 4 jaar;2018;21149
19;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 3 of 4 jaar;2019;25753
20;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 3 of 4 jaar;2020;26575
21;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 3 of 4 jaar;2021;27695
22;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 3 of 4 jaar;2022;29050
23;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 3 of 4 jaar;2023;23612
24;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 5 of 6 jaar;2018;20386
25;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 5 of 6 jaar;2019;19392
26;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 5 of 6 jaar;2020;20777
27;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 5 of 6 jaar;2021;25244
28;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 5 of 6 jaar;2022;26922
29;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 5 of 6 jaar;2023;28242
30;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 7 of 8 jaar;2018;16153
31;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 7 of 8 jaar;2019;17214
32;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 7 of 8 jaar;2020;16816
33;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 7 of 8 jaar;2021;16406
34;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 7 of 8 jaar;2022;18882
35;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 7 of 8 jaar;2023;22999
36;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 9 tot 12 jaar;2018;24009
37;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 9 tot 12 jaar;2019;20834
38;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 9 tot 12 jaar;2020;17674
39;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 9 tot 12 jaar;2021;16661
40;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 9 tot 12 jaar;2022;17793
41;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 9 tot 12 jaar;2023;17325
42;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 12 tot 15 jaar;2018;11599
43;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 12 tot 15 jaar;2019;13386
44;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 12 tot 15 jaar;2020;15246
45;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 12 tot 15 jaar;2021;14037
46;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 12 tot 15 jaar;2022;12615
47;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 12 tot 15 jaar;2023;10858
48;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 15 tot 20 jaar;2018;9281
49;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 15 tot 20 jaar;2019;8847
50;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 15 tot 20 jaar;2020;8585
51;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 15 tot 20 jaar;2021;9427
52;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 15 tot 20 jaar;2022;10515
53;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 15 tot 20 jaar;2023;12115
54;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 20 jaar of ouder;2018;8886
55;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 20 jaar of ouder;2019;9111
56;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 20 jaar of ouder;2020;9216
57;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 20 jaar of ouder;2021;9498
58;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 20 jaar of ouder;2022;9960
59;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Leeftijd: 20 jaar of ouder;2023;10158
60;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 0;2018;4525
61;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 0;2019;4170
62;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 0;2020;3846
63;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 0;2021;3611
64;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 0;2022;3507
65;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 0;2023;3415
66;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 1;2018;1822
67;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 1;2019;1567
68;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 1;2020;1336
69;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 1;2021;1183
70;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 1;2022;1073
71;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 1;2023;968
72;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 2;2018;5883
73;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 2;2019;5046
74;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 2;2020;4210
75;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 2;2021;3566
76;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 2;2022;3174
77;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 2;2023;2813
78;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 3;2018;14326
79;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 3;2019;12154
80;Vrachtauto's en trekkers voor oplegger;A-U Alle economische activiteiten;Milieuklasse: euro 3;2020;10221
