ID;Geslacht;Geboorteland;Herkomstland;Postcode;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2022;17590672.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2023;17811291.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2024;17942942.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Niet in te delen;2022;2850.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Niet in te delen;2023;1665.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Niet in te delen;2024;565.0
6;Totaal mannen en vrouwen;Totaal;Totaal;1011;2022;9755.0
7;Totaal mannen en vrouwen;Totaal;Totaal;1011;2023;9915.0
8;Totaal mannen en vrouwen;Totaal;Totaal;1011;2024;10010.0
9;Totaal mannen en vrouwen;Totaal;Totaal;1012;2022;8800.0
10;Totaal mannen en vrouwen;Totaal;Totaal;1012;2023;8905.0
11;Totaal mannen en vrouwen;Totaal;Totaal;1012;2024;9120.0
12;Totaal mannen en vrouwen;Totaal;Totaal;1013;2022;21940.0
13;Totaal mannen en vrouwen;Totaal;Totaal;1013;2023;22350.0
14;Totaal mannen en vrouwen;Totaal;Totaal;1013;2024;23020.0
15;Totaal mannen en vrouwen;Totaal;Totaal;1014;2022;3660.0
16;Totaal mannen en vrouwen;Totaal;Totaal;1014;2023;3895.0
17;Totaal mannen en vrouwen;Totaal;Totaal;1014;2024;4950.0
18;Totaal mannen en vrouwen;Totaal;Totaal;1015;2022;14910.0
19;Totaal mannen en vrouwen;Totaal;Totaal;1015;2023;14850.0
20;Totaal mannen en vrouwen;Totaal;Totaal;1015;2024;14965.0
21;Totaal mannen en vrouwen;Totaal;Totaal;1016;2022;11130.0
22;Totaal mannen en vrouwen;Totaal;Totaal;1016;2023;11275.0
23;Totaal mannen en vrouwen;Totaal;Totaal;1016;2024;11355.0
24;Totaal mannen en vrouwen;Totaal;Totaal;1017;2022;13105.0
25;Totaal mannen en vrouwen;Totaal;Totaal;1017;2023;13425.0
26;Totaal mannen en vrouwen;Totaal;Totaal;1017;2024;13550.0
27;Totaal mannen en vrouwen;Totaal;Totaal;1018;2022;21055.0
28;Totaal mannen en vrouwen;Totaal;Totaal;1018;2023;22430.0
29;Totaal mannen en vrouwen;Totaal;Totaal;1018;2024;23430.0
30;Totaal mannen en vrouwen;Totaal;Totaal;1019;2022;19840.0
31;Totaal mannen en vrouwen;Totaal;Totaal;1019;2023;20645.0
32;Totaal mannen en vrouwen;Totaal;Totaal;1019;2024;20630.0
33;Totaal mannen en vrouwen;Totaal;Totaal;1021;2022;6935.0
34;Totaal mannen en vrouwen;Totaal;Totaal;1021;2023;7040.0
35;Totaal mannen en vrouwen;Totaal;Totaal;1021;2024;7040.0
36;Totaal mannen en vrouwen;Totaal;Totaal;1022;2022;4145.0
37;Totaal mannen en vrouwen;Totaal;Totaal;1022;2023;5000.0
38;Totaal mannen en vrouwen;Totaal;Totaal;1022;2024;5160.0
39;Totaal mannen en vrouwen;Totaal;Totaal;1023;2022;4595.0
40;Totaal mannen en vrouwen;Totaal;Totaal;1023;2023;4625.0
41;Totaal mannen en vrouwen;Totaal;Totaal;1023;2024;4610.0
42;Totaal mannen en vrouwen;Totaal;Totaal;1024;2022;13750.0
43;Totaal mannen en vrouwen;Totaal;Totaal;1024;2023;13940.0
44;Totaal mannen en vrouwen;Totaal;Totaal;1024;2024;14175.0
45;Totaal mannen en vrouwen;Totaal;Totaal;1025;2022;16305.0
46;Totaal mannen en vrouwen;Totaal;Totaal;1025;2023;16325.0
47;Totaal mannen en vrouwen;Totaal;Totaal;1025;2024;16485.0
48;Totaal mannen en vrouwen;Totaal;Totaal;1026;2022;540.0
49;Totaal mannen en vrouwen;Totaal;Totaal;1026;2023;545.0
50;Totaal mannen en vrouwen;Totaal;Totaal;1026;2024;550.0
51;Totaal mannen en vrouwen;Totaal;Totaal;1027;2022;545.0
52;Totaal mannen en vrouwen;Totaal;Totaal;1027;2023;550.0
53;Totaal mannen en vrouwen;Totaal;Totaal;1027;2024;540.0
54;Totaal mannen en vrouwen;Totaal;Totaal;1028;2022;630.0
55;Totaal mannen en vrouwen;Totaal;Totaal;1028;2023;615.0
56;Totaal mannen en vrouwen;Totaal;Totaal;1028;2024;605.0
57;Totaal mannen en vrouwen;Totaal;Totaal;1031;2022;7830.0
58;Totaal mannen en vrouwen;Totaal;Totaal;1031;2023;9190.0
59;Totaal mannen en vrouwen;Totaal;Totaal;1031;2024;9620.0
60;Totaal mannen en vrouwen;Totaal;Totaal;1032;2022;6210.0
61;Totaal mannen en vrouwen;Totaal;Totaal;1032;2023;6270.0
62;Totaal mannen en vrouwen;Totaal;Totaal;1032;2024;6425.0
63;Totaal mannen en vrouwen;Totaal;Totaal;1033;2022;13215.0
64;Totaal mannen en vrouwen;Totaal;Totaal;1033;2023;14155.0
65;Totaal mannen en vrouwen;Totaal;Totaal;1033;2024;14680.0
66;Totaal mannen en vrouwen;Totaal;Totaal;1034;2022;14925.0
67;Totaal mannen en vrouwen;Totaal;Totaal;1034;2023;15020.0
68;Totaal mannen en vrouwen;Totaal;Totaal;1034;2024;14935.0
69;Totaal mannen en vrouwen;Totaal;Totaal;1035;2022;10750.0
70;Totaal mannen en vrouwen;Totaal;Totaal;1035;2023;10785.0
71;Totaal mannen en vrouwen;Totaal;Totaal;1035;2024;11025.0
72;Totaal mannen en vrouwen;Totaal;Totaal;1036;2022;2665.0
73;Totaal mannen en vrouwen;Totaal;Totaal;1036;2023;2675.0
74;Totaal mannen en vrouwen;Totaal;Totaal;1036;2024;2755.0
75;Totaal mannen en vrouwen;Totaal;Totaal;1037;2022;140.0
76;Totaal mannen en vrouwen;Totaal;Totaal;1037;2023;140.0
77;Totaal mannen en vrouwen;Totaal;Totaal;1037;2024;145.0
78;Totaal mannen en vrouwen;Totaal;Totaal;1041;2022;10.0
79;Totaal mannen en vrouwen;Totaal;Totaal;1041;2023;5.0
80;Totaal mannen en vrouwen;Totaal;Totaal;1041;2024;0.0
81;Totaal mannen en vrouwen;Totaal;Totaal;1042;2022;20.0
82;Totaal mannen en vrouwen;Totaal;Totaal;1042;2023;15.0
83;Totaal mannen en vrouwen;Totaal;Totaal;1042;2024;5.0
84;Totaal mannen en vrouwen;Totaal;Totaal;1043;2022;945.0
85;Totaal mannen en vrouwen;Totaal;Totaal;1043;2023;1035.0
86;Totaal mannen en vrouwen;Totaal;Totaal;1043;2024;1185.0
87;Totaal mannen en vrouwen;Totaal;Totaal;1044;2022;
88;Totaal mannen en vrouwen;Totaal;Totaal;1044;2023;
89;Totaal mannen en vrouwen;Totaal;Totaal;1044;2024;
90;Totaal mannen en vrouwen;Totaal;Totaal;1045;2022;
91;Totaal mannen en vrouwen;Totaal;Totaal;1045;2023;0.0
92;Totaal mannen en vrouwen;Totaal;Totaal;1045;2024;5.0
93;Totaal mannen en vrouwen;Totaal;Totaal;1046;2022;105.0
94;Totaal mannen en vrouwen;Totaal;Totaal;1046;2023;130.0
95;Totaal mannen en vrouwen;Totaal;Totaal;1046;2024;125.0
96;Totaal mannen en vrouwen;Totaal;Totaal;1047;2022;50.0
97;Totaal mannen en vrouwen;Totaal;Totaal;1047;2023;30.0
98;Totaal mannen en vrouwen;Totaal;Totaal;1047;2024;30.0
99;Totaal mannen en vrouwen;Totaal;Totaal;1051;2022;13130.0
100;Totaal mannen en vrouwen;Totaal;Totaal;1051;2023;13140.0
