ID;Countries;SITC;Periods;TotalImportValue_1;TotalExportValue_2
0;Total countries;66 Non-metallic mineral manufactures,...;2015 January;242.0;201.0
1;Total countries;66 Non-metallic mineral manufactures,...;2015 February;262.0;209.0
2;Total countries;66 Non-metallic mineral manufactures,...;2015 March;288.0;242.0
3;Total countries;66 Non-metallic mineral manufactures,...;2015 April;270.0;220.0
4;Total countries;66 Non-metallic mineral manufactures,...;2015 May;260.0;210.0
5;Total countries;66 Non-metallic mineral manufactures,...;2015 June;303.0;243.0
6;Total countries;66 Non-metallic mineral manufactures,...;2015 July;280.0;221.0
7;Total countries;66 Non-metallic mineral manufactures,...;2015 August;238.0;198.0
8;Total countries;66 Non-metallic mineral manufactures,...;2015 September;301.0;235.0
9;Total countries;66 Non-metallic mineral manufactures,...;2015 October;291.0;253.0
10;Total countries;66 Non-metallic mineral manufactures,...;2015 November;272.0;234.0
11;Total countries;66 Non-metallic mineral manufactures,...;2015 December;258.0;205.0
12;Total countries;66 Non-metallic mineral manufactures,...;2015;3265.0;2672.0
13;Total countries;66 Non-metallic mineral manufactures,...;2016 January;247.0;212.0
14;Total countries;66 Non-metallic mineral manufactures,...;2016 February;264.0;226.0
15;Total countries;66 Non-metallic mineral manufactures,...;2016 March;296.0;276.0
16;Total countries;66 Non-metallic mineral manufactures,...;2016 April;278.0;238.0
17;Total countries;66 Non-metallic mineral manufactures,...;2016 May;280.0;246.0
18;Total countries;66 Non-metallic mineral manufactures,...;2016 June;303.0;251.0
19;Total countries;66 Non-metallic mineral manufactures,...;2016 July;271.0;237.0
20;Total countries;66 Non-metallic mineral manufactures,...;2016 August;249.0;220.0
21;Total countries;66 Non-metallic mineral manufactures,...;2016 September;318.0;259.0
22;Total countries;66 Non-metallic mineral manufactures,...;2016 October;292.0;253.0
23;Total countries;66 Non-metallic mineral manufactures,...;2016 November;300.0;272.0
24;Total countries;66 Non-metallic mineral manufactures,...;2016 December;267.0;209.0
25;Total countries;66 Non-metallic mineral manufactures,...;2016;3365.0;2900.0
26;Total countries;66 Non-metallic mineral manufactures,...;2017 January;275.0;248.0
27;Total countries;66 Non-metallic mineral manufactures,...;2017 February;284.0;233.0
28;Total countries;66 Non-metallic mineral manufactures,...;2017 March;325.0;281.0
29;Total countries;66 Non-metallic mineral manufactures,...;2017 April;284.0;224.0
