ID;WijkenEnBuurten;Woningkenmerken;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldeElektriciteitslevering_5;GemiddeldeNettoElektriciteitslevering_6;Stadsverwarming_7;IndelingswijzigingWijkenEnBuurten_8
0;Nederland;Totaal woningen;Nederland                               ;Land      ;NL00      ;970.0;2640.0;2200.0;6.5;
1;Nederland;Appartement;Nederland                               ;Land      ;NL00      ;660.0;1940.0;1890.0;;
2;Nederland;Tussenwoning;Nederland                               ;Land      ;NL00      ;920.0;2670.0;2210.0;;
3;Nederland;Hoekwoning;Nederland                               ;Land      ;NL00      ;1090.0;2810.0;2250.0;;
4;Nederland;Twee-onder-één-kap woning;Nederland                               ;Land      ;NL00      ;1270.0;3170.0;2410.0;;
5;Nederland;Vrijstaande woning;Nederland                               ;Land      ;NL00      ;1650.0;3970.0;2870.0;;
6;Nederland;Eigen woning;Nederland                               ;Land      ;NL00      ;1130.0;3090.0;2430.0;;
7;Nederland;Huurwoning;Nederland                               ;Land      ;NL00      ;760.0;2040.0;1890.0;;
8;Aa en Hunze;Totaal woningen;Aa en Hunze                             ;Gemeente  ;GM1680    ;1430.0;3000.0;2120.0;;1.0
9;Aa en Hunze;Appartement;Aa en Hunze                             ;Gemeente  ;GM1680    ;820.0;1850.0;1740.0;;1.0
10;Aa en Hunze;Tussenwoning;Aa en Hunze                             ;Gemeente  ;GM1680    ;1030.0;2130.0;1590.0;;1.0
11;Aa en Hunze;Hoekwoning;Aa en Hunze                             ;Gemeente  ;GM1680    ;1180.0;2400.0;1850.0;;1.0
12;Aa en Hunze;Twee-onder-één-kap woning;Aa en Hunze                             ;Gemeente  ;GM1680    ;1270.0;2740.0;1990.0;;1.0
13;Aa en Hunze;Vrijstaande woning;Aa en Hunze                             ;Gemeente  ;GM1680    ;1720.0;3610.0;2410.0;;1.0
14;Aa en Hunze;Eigen woning;Aa en Hunze                             ;Gemeente  ;GM1680    ;1540.0;3290.0;2220.0;;1.0
15;Aa en Hunze;Huurwoning;Aa en Hunze                             ;Gemeente  ;GM1680    ;1080.0;2130.0;1830.0;;1.0
16;Wijk 00 Annen;Totaal woningen;Aa en Hunze                             ;Wijk      ;WK168000  ;1340.0;2820.0;1880.0;;1.0
17;Wijk 00 Annen;Appartement;Aa en Hunze                             ;Wijk      ;WK168000  ;750.0;1570.0;1390.0;;1.0
18;Wijk 00 Annen;Tussenwoning;Aa en Hunze                             ;Wijk      ;WK168000  ;1050.0;2090.0;1400.0;;1.0
19;Wijk 00 Annen;Hoekwoning;Aa en Hunze                             ;Wijk      ;WK168000  ;1190.0;2460.0;1720.0;;1.0
20;Wijk 00 Annen;Twee-onder-één-kap woning;Aa en Hunze                             ;Wijk      ;WK168000  ;1300.0;2820.0;2000.0;;1.0
21;Wijk 00 Annen;Vrijstaande woning;Aa en Hunze                             ;Wijk      ;WK168000  ;1670.0;3520.0;2170.0;;1.0
22;Wijk 00 Annen;Eigen woning;Aa en Hunze                             ;Wijk      ;WK168000  ;1450.0;3160.0;2020.0;;1.0
23;Wijk 00 Annen;Huurwoning;Aa en Hunze                             ;Wijk      ;WK168000  ;1000.0;1770.0;1470.0;;1.0
24;Annen;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800000;1320.0;2760.0;1830.0;;1.0
25;Annen;Appartement;Aa en Hunze                             ;Buurt     ;BU16800000;750.0;1570.0;1390.0;;1.0
26;Annen;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800000;1050.0;2090.0;1400.0;;1.0
27;Annen;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800000;1190.0;2460.0;1720.0;;1.0
28;Annen;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800000;1300.0;2820.0;2000.0;;1.0
29;Annen;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800000;1660.0;3430.0;2060.0;;1.0
30;Annen;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800000;1440.0;3100.0;1950.0;;1.0
31;Annen;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800000;1000.0;1760.0;1470.0;;1.0
32;Verspreide huizen Annen;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800009;1850.0;4440.0;3350.0;;1.0
33;Verspreide huizen Annen;Appartement;Aa en Hunze                             ;Buurt     ;BU16800009;;;;;1.0
34;Verspreide huizen Annen;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800009;;;;;1.0
35;Verspreide huizen Annen;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800009;;;;;1.0
36;Verspreide huizen Annen;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800009;;;;;1.0
37;Verspreide huizen Annen;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800009;1850.0;4440.0;3350.0;;1.0
38;Verspreide huizen Annen;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800009;1850.0;4480.0;3360.0;;1.0
39;Verspreide huizen Annen;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800009;;;;;1.0
40;Wijk 01 Eext;Totaal woningen;Aa en Hunze                             ;Wijk      ;WK168001  ;1520.0;3120.0;2290.0;;1.0
41;Wijk 01 Eext;Appartement;Aa en Hunze                             ;Wijk      ;WK168001  ;1210.0;2860.0;2780.0;;1.0
42;Wijk 01 Eext;Tussenwoning;Aa en Hunze                             ;Wijk      ;WK168001  ;990.0;1790.0;1450.0;;1.0
43;Wijk 01 Eext;Hoekwoning;Aa en Hunze                             ;Wijk      ;WK168001  ;1120.0;2390.0;2030.0;;1.0
44;Wijk 01 Eext;Twee-onder-één-kap woning;Aa en Hunze                             ;Wijk      ;WK168001  ;1270.0;2750.0;2010.0;;1.0
45;Wijk 01 Eext;Vrijstaande woning;Aa en Hunze                             ;Wijk      ;WK168001  ;1760.0;3560.0;2530.0;;1.0
46;Wijk 01 Eext;Eigen woning;Aa en Hunze                             ;Wijk      ;WK168001  ;1570.0;3330.0;2410.0;;1.0
47;Wijk 01 Eext;Huurwoning;Aa en Hunze                             ;Wijk      ;WK168001  ;1260.0;2050.0;1650.0;;1.0
48;Eext;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800100;1480.0;3070.0;2230.0;;1.0
49;Eext;Appartement;Aa en Hunze                             ;Buurt     ;BU16800100;1240.0;2640.0;2550.0;;1.0
50;Eext;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800100;990.0;1790.0;1450.0;;1.0
51;Eext;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800100;1120.0;2390.0;2030.0;;1.0
52;Eext;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800100;1270.0;2750.0;2010.0;;1.0
53;Eext;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800100;1720.0;3530.0;2470.0;;1.0
54;Eext;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800100;1520.0;3280.0;2350.0;;1.0
55;Eext;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800100;1250.0;2020.0;1620.0;;1.0
56;Verspreide huizen Eext;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800109;2010.0;3840.0;3000.0;;1.0
57;Verspreide huizen Eext;Appartement;Aa en Hunze                             ;Buurt     ;BU16800109;;;;;1.0
58;Verspreide huizen Eext;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800109;;;;;1.0
59;Verspreide huizen Eext;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800109;;;;;1.0
60;Verspreide huizen Eext;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800109;;;;;1.0
61;Verspreide huizen Eext;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800109;2050.0;3810.0;2940.0;;1.0
62;Verspreide huizen Eext;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800109;2040.0;3890.0;3020.0;;1.0
63;Verspreide huizen Eext;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800109;;;;;1.0
64;Wijk 02 Anloo;Totaal woningen;Aa en Hunze                             ;Wijk      ;WK168002  ;1600.0;3240.0;2310.0;;1.0
65;Wijk 02 Anloo;Appartement;Aa en Hunze                             ;Wijk      ;WK168002  ;;;;;1.0
66;Wijk 02 Anloo;Tussenwoning;Aa en Hunze                             ;Wijk      ;WK168002  ;;;;;1.0
67;Wijk 02 Anloo;Hoekwoning;Aa en Hunze                             ;Wijk      ;WK168002  ;;;;;1.0
68;Wijk 02 Anloo;Twee-onder-één-kap woning;Aa en Hunze                             ;Wijk      ;WK168002  ;1100.0;2350.0;1750.0;;1.0
69;Wijk 02 Anloo;Vrijstaande woning;Aa en Hunze                             ;Wijk      ;WK168002  ;1800.0;3620.0;2510.0;;1.0
70;Wijk 02 Anloo;Eigen woning;Aa en Hunze                             ;Wijk      ;WK168002  ;1640.0;3370.0;2260.0;;1.0
71;Wijk 02 Anloo;Huurwoning;Aa en Hunze                             ;Wijk      ;WK168002  ;1420.0;2720.0;2500.0;;1.0
72;Anloo;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800200;1590.0;3180.0;2300.0;;1.0
73;Anloo;Appartement;Aa en Hunze                             ;Buurt     ;BU16800200;;;;;1.0
74;Anloo;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800200;;;;;1.0
75;Anloo;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800200;;;;;1.0
76;Anloo;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800200;1150.0;2300.0;1780.0;;1.0
77;Anloo;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800200;1780.0;3550.0;2480.0;;1.0
78;Anloo;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800200;1640.0;3310.0;2270.0;;1.0
79;Anloo;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800200;1420.0;2650.0;2410.0;;1.0
80;Verspreide huizen Anloo;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800209;1620.0;3660.0;2350.0;;1.0
81;Verspreide huizen Anloo;Appartement;Aa en Hunze                             ;Buurt     ;BU16800209;;;;;1.0
82;Verspreide huizen Anloo;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800209;;;;;1.0
83;Verspreide huizen Anloo;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800209;;;;;1.0
84;Verspreide huizen Anloo;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800209;750.0;2670.0;1560.0;;1.0
85;Verspreide huizen Anloo;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800209;1930.0;4010.0;2620.0;;1.0
86;Verspreide huizen Anloo;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800209;1660.0;3700.0;2190.0;;1.0
87;Verspreide huizen Anloo;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800209;;;;;1.0
88;Wijk 03 Gasteren;Totaal woningen;Aa en Hunze                             ;Wijk      ;WK168003  ;1570.0;3240.0;2160.0;;1.0
89;Wijk 03 Gasteren;Appartement;Aa en Hunze                             ;Wijk      ;WK168003  ;1380.0;2120.0;1990.0;;1.0
90;Wijk 03 Gasteren;Tussenwoning;Aa en Hunze                             ;Wijk      ;WK168003  ;910.0;2800.0;2220.0;;1.0
91;Wijk 03 Gasteren;Hoekwoning;Aa en Hunze                             ;Wijk      ;WK168003  ;1620.0;3000.0;1660.0;;1.0
92;Wijk 03 Gasteren;Twee-onder-één-kap woning;Aa en Hunze                             ;Wijk      ;WK168003  ;1330.0;2740.0;1590.0;;1.0
93;Wijk 03 Gasteren;Vrijstaande woning;Aa en Hunze                             ;Wijk      ;WK168003  ;1660.0;3450.0;2340.0;;1.0
94;Wijk 03 Gasteren;Eigen woning;Aa en Hunze                             ;Wijk      ;WK168003  ;1590.0;3250.0;2150.0;;1.0
95;Wijk 03 Gasteren;Huurwoning;Aa en Hunze                             ;Wijk      ;WK168003  ;1370.0;3100.0;2350.0;;1.0
96;Gasteren;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800300;1580.0;3240.0;2170.0;;1.0
97;Gasteren;Appartement;Aa en Hunze                             ;Buurt     ;BU16800300;1380.0;2120.0;1990.0;;1.0
98;Gasteren;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800300;910.0;2800.0;2220.0;;1.0
99;Gasteren;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800300;1620.0;3000.0;1660.0;;1.0
100;Gasteren;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800300;1330.0;2740.0;1590.0;;1.0
101;Gasteren;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800300;1670.0;3460.0;2350.0;;1.0
102;Gasteren;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800300;1590.0;3260.0;2140.0;;1.0
103;Gasteren;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800300;1350.0;3060.0;2530.0;;1.0
104;Verspreide huizen Gasteren;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800309;;;;;1.0
105;Verspreide huizen Gasteren;Appartement;Aa en Hunze                             ;Buurt     ;BU16800309;;;;;1.0
106;Verspreide huizen Gasteren;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800309;;;;;1.0
107;Verspreide huizen Gasteren;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800309;;;;;1.0
108;Verspreide huizen Gasteren;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800309;;;;;1.0
109;Verspreide huizen Gasteren;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800309;;;;;1.0
110;Verspreide huizen Gasteren;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800309;;;;;1.0
111;Verspreide huizen Gasteren;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800309;;;;;1.0
112;Wijk 04 Anderen;Totaal woningen;Aa en Hunze                             ;Wijk      ;WK168004  ;1790.0;3500.0;2450.0;;1.0
