ID;Geslacht;Leeftijd;BurgerlijkeStaat;Herkomstland;GeboortelandOuders;Perioden;PersonenMetPensioenaanspraken_1;BrutoJaarbedragOpgebouwdPensioen_2;BrutoJaarbedragTeBereikenPensioen_3
0;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Totaal;2020;10379080.0;58175806.0;120210754.0
1;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Totaal;2021;10584880.0;59200249.0;121486465.0
2;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Totaal;2022;10824370.0;63388722.0;136891623.0
3;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Totaal;2023;11092310.0;65701883.0;142291596.0
4;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in Nederland;2020;8029720.0;52663166.0;105986625.0
5;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in Nederland;2021;8091820.0;53422267.0;106587934.0
6;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in Nederland;2022;8091030.0;56744841.0;117603405.0
7;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in Nederland;2023;8172580.0;58670839.0;121329538.0
8;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren buiten Nederland;2020;2310610.0;5498499.0;14208599.0
9;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren buiten Nederland;2021;2454060.0;5764307.0;14882810.0
10;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren buiten Nederland;2022;2694660.0;6629677.0;19271047.0
11;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren buiten Nederland;2023;2886870.0;7021710.0;20951371.0
12;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouder(s) buiten NL;2020;895860.0;3998548.0;9679184.0
13;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouder(s) buiten NL;2021;927040.0;4151171.0;10089691.0
14;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouder(s) buiten NL;2022;964460.0;4607547.0;11804997.0
15;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouder(s) buiten NL;2023;999880.0;4815082.0;12368755.0
16;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouders in NL;2020;7133860.0;48664618.0;96307442.0
17;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouders in NL;2021;7164780.0;49271096.0;96498242.0
18;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouders in NL;2022;7126570.0;52137294.0;105798408.0
19;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Geboren in NL, ouders in NL;2023;7172700.0;53855757.0;108960783.0
20;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Onbekend;2020;38750.0;14141.0;15530.0
21;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Onbekend;2021;39000.0;13676.0;15722.0
22;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Onbekend;2022;38680.0;14204.0;17171.0
23;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;Onbekend;2023;32860.0;9333.0;10687.0
24;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Totaal;2020;7133860.0;48664618.0;96307442.0
25;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Totaal;2021;7164780.0;49271096.0;96498242.0
26;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Totaal;2022;7126570.0;52137294.0;105798408.0
27;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Totaal;2023;7172700.0;53855757.0;108960783.0
28;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in Nederland;2020;7133860.0;48664618.0;96307442.0
29;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in Nederland;2021;7164780.0;49271096.0;96498242.0
30;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in Nederland;2022;7126570.0;52137294.0;105798408.0
31;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in Nederland;2023;7172700.0;53855757.0;108960783.0
32;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren buiten Nederland;2020;;;
33;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren buiten Nederland;2021;;;
34;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren buiten Nederland;2022;;;
35;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren buiten Nederland;2023;;;
36;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouder(s) buiten NL;2020;;;
37;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouder(s) buiten NL;2021;;;
38;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouder(s) buiten NL;2022;;;
39;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouder(s) buiten NL;2023;;;
40;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouders in NL;2020;7133860.0;48664618.0;96307442.0
41;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouders in NL;2021;7164780.0;49271096.0;96498242.0
42;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouders in NL;2022;7126570.0;52137294.0;105798408.0
43;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Geboren in NL, ouders in NL;2023;7172700.0;53855757.0;108960783.0
44;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Onbekend;2020;;;
45;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Onbekend;2021;;;
46;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Onbekend;2022;;;
47;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederland;Onbekend;2023;;;
48;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Totaal;2020;1439450.0;3427565.0;9035118.0
49;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Totaal;2021;1545800.0;3595214.0;9422448.0
50;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Totaal;2022;1717760.0;4140640.0;12123494.0
51;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Europa (exclusief Nederland);Totaal;2023;1854750.0;4369965.0;13113740.0
