ID;Geslacht;PositieInDeWerkkring;Persoonskenmerken;Thuiswerken;Perioden;WerkzameBeroepsbevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2021;9255
1;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2022;9548
2;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2023;9737
3;Totaal mannen en vrouwen;Totaal;Totaal personen;Totaal;2024;9798
4;Totaal mannen en vrouwen;Totaal;Totaal personen;Meestal of soms thuiswerken;2021;4996
5;Totaal mannen en vrouwen;Totaal;Totaal personen;Meestal of soms thuiswerken;2022;5069
6;Totaal mannen en vrouwen;Totaal;Totaal personen;Meestal of soms thuiswerken;2023;5059
7;Totaal mannen en vrouwen;Totaal;Totaal personen;Meestal of soms thuiswerken;2024;5106
8;Totaal mannen en vrouwen;Totaal;Totaal personen;Meestal thuiswerken;2021;1915
9;Totaal mannen en vrouwen;Totaal;Totaal personen;Meestal thuiswerken;2022;1531
10;Totaal mannen en vrouwen;Totaal;Totaal personen;Meestal thuiswerken;2023;1282
11;Totaal mannen en vrouwen;Totaal;Totaal personen;Meestal thuiswerken;2024;1249
12;Totaal mannen en vrouwen;Totaal;Totaal personen;Soms thuiswerken;2021;3081
13;Totaal mannen en vrouwen;Totaal;Totaal personen;Soms thuiswerken;2022;3538
14;Totaal mannen en vrouwen;Totaal;Totaal personen;Soms thuiswerken;2023;3776
15;Totaal mannen en vrouwen;Totaal;Totaal personen;Soms thuiswerken;2024;3857
16;Totaal mannen en vrouwen;Totaal;Totaal personen;Niet thuiswerken;2021;4259
17;Totaal mannen en vrouwen;Totaal;Totaal personen;Niet thuiswerken;2022;4479
18;Totaal mannen en vrouwen;Totaal;Totaal personen;Niet thuiswerken;2023;4678
19;Totaal mannen en vrouwen;Totaal;Totaal personen;Niet thuiswerken;2024;4692
20;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Totaal;2021;1520
21;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Totaal;2022;1621
22;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Totaal;2023;1659
23;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Totaal;2024;1653
24;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Meestal of soms thuiswerken;2021;310
25;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Meestal of soms thuiswerken;2022;315
26;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Meestal of soms thuiswerken;2023;302
27;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Meestal of soms thuiswerken;2024;293
28;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Meestal thuiswerken;2021;139
29;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Meestal thuiswerken;2022;96
30;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Meestal thuiswerken;2023;82
31;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Meestal thuiswerken;2024;80
32;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Soms thuiswerken;2021;171
33;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Soms thuiswerken;2022;218
34;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Soms thuiswerken;2023;220
35;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Soms thuiswerken;2024;213
36;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Niet thuiswerken;2021;1210
37;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Niet thuiswerken;2022;1307
38;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Niet thuiswerken;2023;1357
39;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;Niet thuiswerken;2024;1360
40;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Totaal;2021;1949
41;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Totaal;2022;1994
42;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Totaal;2023;2031
43;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Totaal;2024;2064
44;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Meestal of soms thuiswerken;2021;1158
45;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Meestal of soms thuiswerken;2022;1143
46;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Meestal of soms thuiswerken;2023;1144
47;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Meestal of soms thuiswerken;2024;1184
48;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Meestal thuiswerken;2021;461
49;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Meestal thuiswerken;2022;336
50;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Meestal thuiswerken;2023;258
51;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Meestal thuiswerken;2024;249
52;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Soms thuiswerken;2021;697
53;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Soms thuiswerken;2022;807
54;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Soms thuiswerken;2023;886
55;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Soms thuiswerken;2024;935
56;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Niet thuiswerken;2021;791
57;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Niet thuiswerken;2022;851
58;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Niet thuiswerken;2023;887
59;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;Niet thuiswerken;2024;880
60;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Totaal;2021;1779
61;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Totaal;2022;1846
62;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Totaal;2023;1896
63;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Totaal;2024;1916
64;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Meestal of soms thuiswerken;2021;1152
65;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Meestal of soms thuiswerken;2022;1180
66;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Meestal of soms thuiswerken;2023;1202
67;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Meestal of soms thuiswerken;2024;1214
68;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Meestal thuiswerken;2021;420
69;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Meestal thuiswerken;2022;338
70;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Meestal thuiswerken;2023;274
71;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Meestal thuiswerken;2024;275
72;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Soms thuiswerken;2021;732
73;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Soms thuiswerken;2022;842
74;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Soms thuiswerken;2023;928
75;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Soms thuiswerken;2024;939
76;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Niet thuiswerken;2021;627
77;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Niet thuiswerken;2022;666
78;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Niet thuiswerken;2023;694
79;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;Niet thuiswerken;2024;702
80;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Totaal;2021;2020
81;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Totaal;2022;2007
82;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Totaal;2023;1976
83;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Totaal;2024;1933
84;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Meestal of soms thuiswerken;2021;1248
85;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Meestal of soms thuiswerken;2022;1247
86;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Meestal of soms thuiswerken;2023;1215
87;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Meestal of soms thuiswerken;2024;1181
88;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Meestal thuiswerken;2021;459
89;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Meestal thuiswerken;2022;349
90;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Meestal thuiswerken;2023;302
91;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Meestal thuiswerken;2024;274
92;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Soms thuiswerken;2021;789
93;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Soms thuiswerken;2022;898
94;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Soms thuiswerken;2023;913
95;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Soms thuiswerken;2024;906
96;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Niet thuiswerken;2021;773
97;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Niet thuiswerken;2022;760
98;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Niet thuiswerken;2023;761
99;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;Niet thuiswerken;2024;752
100;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Totaal;2021;1704
101;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Totaal;2022;1768
102;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Totaal;2023;1819
103;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Totaal;2024;1839
104;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Meestal of soms thuiswerken;2021;965
105;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Meestal of soms thuiswerken;2022;1005
106;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Meestal of soms thuiswerken;2023;1004
107;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Meestal of soms thuiswerken;2024;1016
108;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Meestal thuiswerken;2021;350
109;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Meestal thuiswerken;2022;318
110;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Meestal thuiswerken;2023;275
111;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Meestal thuiswerken;2024;270
112;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Soms thuiswerken;2021;615
113;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Soms thuiswerken;2022;687
114;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;Soms thuiswerken;2023;730
