ID;Geslacht;Leeftijd;AanwezigheidOuders;Geboorteland;Herkomstland;Perioden;Kinderen_1;KinderenRelatief_2
0;Totaal jongens en meisjes;10000;Totaal;Totaal;Totaal;2023;4917721.0;100.0
1;Totaal jongens en meisjes;10000;Totaal;Totaal;Totaal;2024;4916199.0;100.0
2;Totaal jongens en meisjes;10000;Totaal;Totaal;Nederland;2023;3399500.0;100.0
3;Totaal jongens en meisjes;10000;Totaal;Totaal;Nederland;2024;3360437.0;100.0
4;Totaal jongens en meisjes;10000;Totaal;Totaal;Buiten Nederland;2023;1518221.0;100.0
5;Totaal jongens en meisjes;10000;Totaal;Totaal;Buiten Nederland;2024;1555762.0;100.0
6;Totaal jongens en meisjes;10000;Totaal;Totaal;Europa (exclusief Nederland);2023;478640.0;100.0
7;Totaal jongens en meisjes;10000;Totaal;Totaal;Europa (exclusief Nederland);2024;495461.0;100.0
8;Totaal jongens en meisjes;10000;Totaal;Totaal;Buiten Europa;2023;1039581.0;100.0
9;Totaal jongens en meisjes;10000;Totaal;Totaal;Buiten Europa;2024;1060301.0;100.0
10;Totaal jongens en meisjes;10000;Totaal;Totaal;Indonesië;2023;23266.0;100.0
11;Totaal jongens en meisjes;10000;Totaal;Totaal;Indonesië;2024;22606.0;100.0
12;Totaal jongens en meisjes;10000;Totaal;Totaal;Marokko;2023;167095.0;100.0
13;Totaal jongens en meisjes;10000;Totaal;Totaal;Marokko;2024;164140.0;100.0
14;Totaal jongens en meisjes;10000;Totaal;Totaal;Nederlandse Cariben;2023;69138.0;100.0
15;Totaal jongens en meisjes;10000;Totaal;Totaal;Nederlandse Cariben;2024;69592.0;100.0
16;Totaal jongens en meisjes;10000;Totaal;Totaal;Suriname;2023;87333.0;100.0
17;Totaal jongens en meisjes;10000;Totaal;Totaal;Suriname;2024;85007.0;100.0
18;Totaal jongens en meisjes;10000;Totaal;Totaal;Turkije;2023;139448.0;100.0
19;Totaal jongens en meisjes;10000;Totaal;Totaal;Turkije;2024;139540.0;100.0
20;Totaal jongens en meisjes;10000;Totaal;Totaal;Afrika (exclusief Marokko);2023;152501.0;100.0
21;Totaal jongens en meisjes;10000;Totaal;Totaal;Afrika (exclusief Marokko);2024;156780.0;100.0
22;Totaal jongens en meisjes;10000;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;2023;99738.0;100.0
23;Totaal jongens en meisjes;10000;Totaal;Totaal;Amerika en Oceanië (ex. Suriname en N...;2024;102375.0;100.0
