ID;Afzetgebieden;AlleProdComCoderingen;Perioden;ProducentenprijsindexPPI_1;MaandmutatiePPI_2;JaarmutatiePPI_3
0;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 januari;90.0;;
1;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 februari;89.7;-0.3;
2;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 maart;89.9;0.3;
3;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 april;90.4;0.5;
4;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 mei;91.6;1.3;
5;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 juni;92.1;0.6;
6;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 juli;92.3;0.2;
7;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 augustus;92.4;0.2;
8;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 september;92.9;0.5;
9;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 oktober;93.5;0.6;
10;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 november;91.9;-1.7;
11;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018 december;90.2;-1.9;
12;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2018;91.4;;
13;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 januari;90.9;0.8;1.0
14;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 februari;91.3;0.3;1.7
15;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 maart;91.5;0.3;1.8
16;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 april;92.7;1.2;2.5
17;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 mei;92.7;0.0;1.2
18;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 juni;91.4;-1.4;-0.8
19;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 juli;91.3;-0.1;-1.1
20;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 augustus;90.6;-0.7;-1.9
21;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 september;91.0;0.4;-2.1
22;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 oktober;91.1;0.1;-2.5
23;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 november;91.3;0.2;-0.7
24;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019 december;91.6;0.4;1.6
25;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2019;91.5;;0.0
26;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 januari;91.9;0.3;1.1
27;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 februari;91.2;-0.8;0.0
28;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 maart;87.7;-3.8;-4.2
29;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 april;84.9;-3.2;-8.4
30;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 mei;85.2;0.3;-8.1
31;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 juni;86.1;1.1;-5.7
32;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 juli;86.5;0.5;-5.2
33;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 augustus;86.5;0.0;-4.5
34;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 september;86.5;0.0;-4.9
35;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 oktober;86.8;0.3;-4.8
36;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 november;87.3;0.6;-4.4
37;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020 december;88.2;1.1;-3.7
38;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2020;87.4;;-4.4
39;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 januari;90.7;2.7;-1.4
40;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 februari;92.4;1.9;1.3
41;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 maart;94.2;2.0;7.4
42;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 april;95.8;1.6;12.8
43;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 mei;97.0;1.3;13.9
44;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 juni;98.0;1.0;13.7
45;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 juli;100.4;2.5;16.0
46;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 augustus;101.6;1.1;17.4
47;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 september;103.4;1.8;19.5
48;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 oktober;107.4;3.9;23.8
49;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 november;109.1;1.6;25.0
50;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021 december;110.1;0.9;24.8
51;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2021;100.0;;14.4
52;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 januari;115.0;4.4;26.9
53;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 februari;116.4;1.2;26.0
54;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 maart;122.4;5.1;29.9
55;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 april;127.7;4.3;33.3
56;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 mei;128.1;0.4;32.1
57;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 juni;130.4;1.7;33.1
58;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 juli;133.2;2.2;32.7
59;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 augustus;134.9;1.3;32.8
60;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 september;134.6;-0.3;30.2
61;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 oktober;135.0;0.3;25.7
62;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 november;132.2;-2.1;21.1
63;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022 december ;129.1;-2.3;17.3
64;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2022;128.3;;28.3
65;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 januari;130.6;1.1;13.5
66;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 februari;130.1;-0.4;11.8
67;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 maart;127.9;-1.7;4.5
68;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 april;125.4;-1.9;-1.8
69;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 mei;123.1;-1.9;-4.0
70;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 juni;122.7;-0.3;-5.9
71;Totaal afzetprijzen;B-E Nijverheid (geen bouw) en energie;2023 juli;121.2;-1.2;-9.0
