ID;BalanspostenGemeenschRegelingen;Perioden;BalansstandenUltimo_1
0;A - Activa;2022;8446.0
1;A - Activa;2023;8513.0
2;A1 - Vaste activa;2022;3545.0
3;A1 - Vaste activa;2023;3676.0
4;A11 - Immateriële vaste activa;2022;29.0
5;A11 - Immateriële vaste activa;2023;27.0
6;A12 - Materiële vaste activa;2022;2218.0
7;A12 - Materiële vaste activa;2023;2414.0
8;A121 - Gronden en terreinen;2022;270.0
9;A121 - Gronden en terreinen;2023;308.0
10;A123 - Bedrijfsgebouwen;2022;781.0
11;A123 - Bedrijfsgebouwen;2023;809.0
12;A124 - GWW werken;2022;56.0
13;A124 - GWW werken;2023;70.0
14;A12a - Overige materiële vaste activa;2022;1110.0
15;A12a - Overige materiële vaste activa;2023;1227.0
16;A13 - Financiële vaste activa;2022;1298.0
17;A13 - Financiële vaste activa;2023;1235.0
18;A131a - Kapitaalverstrekkingen;2022;65.0
19;A131a - Kapitaalverstrekkingen;2023;57.0
20;A132a - Leningen aan verbonden partijen;2022;1025.0
21;A132a - Leningen aan verbonden partijen;2023;471.0
22;A1331 - Overige langlopende leningen;2022;132.0
23;A1331 - Overige langlopende leningen;2023;642.0
24;A1332 - Overige langlopende uitzettingen;2022;75.0
25;A1332 - Overige langlopende uitzettingen;2023;65.0
26;A2 - Vlottende activa;2022;4901.0
27;A2 - Vlottende activa;2023;4838.0
28;A21 - Voorraden;2022;517.0
29;A21 - Voorraden;2023;358.0
30;A211 - Niet in exploitatie bouwgronden;2022;
31;A211 - Niet in exploitatie bouwgronden;2023;
32;A213 - Onderhanden werk ..;2022;507.0
33;A213 - Onderhanden werk ..;2023;348.0
34;A21a - Overige voorraden;2022;10.0
35;A21a - Overige voorraden;2023;11.0
36;A22 - Financiële vlottende activa;2022;4384.0
37;A22 - Financiële vlottende activa;2023;4479.0
38;A22a - Kortlopende vorderingen en uitz..;2022;3598.0
39;A22a - Kortlopende vorderingen en uitz..;2023;3725.0
40;A23 - Liquide middelen (kas of bank);2022;234.0
41;A23 - Liquide middelen (kas of bank);2023;258.0
42;A29 - Overlopende activa;2022;553.0
43;A29 - Overlopende activa;2023;497.0
44;P - Passiva;2022;8446.0
45;P - Passiva;2023;8513.0
46;P1 - Vaste passiva;2022;4560.0
47;P1 - Vaste passiva;2023;4599.0
48;P11 - Eigen vermogen;2022;1159.0
49;P11 - Eigen vermogen;2023;1188.0
50;P111 - Algemene reserve;2022;344.0
51;P111 - Algemene reserve;2023;369.0
52;P112 - Bestemmingsreserves;2022;678.0
53;P112 - Bestemmingsreserves;2023;673.0
54;P114 - Saldo van de rekening;2022;137.0
55;P114 - Saldo van de rekening;2023;146.0
56;P12 - Voorzieningen;2022;271.0
57;P12 - Voorzieningen;2023;328.0
58;P13 - Vaste schuld;2022;3131.0
59;P13 - Vaste schuld;2023;3082.0
60;P133 - Onderhandse leningen van ..;2022;3013.0
61;P133 - Onderhandse leningen van ..;2023;2938.0
62;P13a - Overige vaste schuld;2022;118.0
63;P13a - Overige vaste schuld;2023;144.0
64;P2 - Vlottende passiva;2022;3885.0
65;P2 - Vlottende passiva;2023;3915.0
66;P21 - Kortlopende schuld;2022;1757.0
67;P21 - Kortlopende schuld;2023;1738.0
68;P29 - Overlopende passiva;2022;2128.0
69;P29 - Overlopende passiva;2023;2176.0
