ID;GemeenschappelijkeRegelingenTaakvelden;Perioden;Baten_1;Lasten_2;Saldo_3
0;Totaal gemeensch. regelingen taakvelden;2022;12853;12853;0
1;Totaal gemeensch. regelingen taakvelden;2023;12923;12923;0
2;Totaal bestuur en ondersteuning;2022;2094;2727;-633
3;Totaal bestuur en ondersteuning;2023;2636;2843;-207
4;Bestuur en burgerzaken;2022;79;81;-2
5;Bestuur en burgerzaken;2023;44;45;-1
6;Overhead;2022;1401;2087;-686
7;Overhead;2023;1494;2149;-655
8;Belastingen;2022;61;131;-70
9;Belastingen;2023;146;145;1
10;AU en ov. uitkeringen gemeentefonds;2022;2;0;2
11;AU en ov. uitkeringen gemeentefonds;2023;3;-2;4
12;Overig bestuur en ondersteuning;2022;316;139;177
13;Overig bestuur en ondersteuning;2023;722;187;535
14;Toevoeging/onttrekking reserves;2022;216;150;67
15;Toevoeging/onttrekking reserves;2023;215;183;32
16;Resultaat van de rekening;2022;19;139;-121
17;Resultaat van de rekening;2023;13;136;-123
18;Totaal veiligheid;2022;1563;1320;243
19;Totaal veiligheid;2023;1534;1428;106
20;Veiligheid;2022;1563;1320;243
21;Veiligheid;2023;1534;1428;106
22;Totaal verkeer, vervoer en waterstaat;2022;1218;1224;-6
23;Totaal verkeer, vervoer en waterstaat;2023;1226;1246;-20
24;Verkeer en parkeren;2022;100;275;-175
25;Verkeer en parkeren;2023;309;277;33
26;Havens en waterwegen;2022;28;29;-2
27;Havens en waterwegen;2023;35;32;3
28;Openbaar vervoer;2022;1091;920;171
29;Openbaar vervoer;2023;882;938;-56
30;Totaal economie;2022;196;201;-5
31;Totaal economie;2023;173;184;-11
32;Economisch beleid en ondersteuning;2022;46;67;-21
33;Economisch beleid en ondersteuning;2023;45;54;-8
34;Fysieke bedrijfsinfrastructuur;2022;150;134;16
35;Fysieke bedrijfsinfrastructuur;2023;128;130;-2
36;Totaal onderwijs;2022;57;55;2
37;Totaal onderwijs;2023;65;64;1
38;Onderwijs exclusief huisvesting;2022;55;53;2
39;Onderwijs exclusief huisvesting;2023;63;62;1
40;Onderwijshuisvesting;2022;2;2;0
41;Onderwijshuisvesting;2023;2;2;0
42;Totaal sport, cultuur en recreatie;2022;218;201;17
43;Totaal sport, cultuur en recreatie;2023;231;221;10
44;Sportbeleid en activering;2022;1;2;0
45;Sportbeleid en activering;2023;2;2;0
46;Sportaccommodaties;2022;6;6;0
47;Sportaccommodaties;2023;7;7;0
48;Cultuurpresentatie, - productie en - par;2022;5;5;0
49;Cultuurpresentatie, - productie en - par;2023;6;6;0
50;Musea;2022;82;67;14
51;Musea;2023;94;81;13
52;Cultureel erfgoed;2022;1;2;-1
53;Cultureel erfgoed;2023;1;1;0
54;Media;2022;0;0;0
55;Media;2023;3;11;-8
56;Openbaar groen en (openlucht) recreatie;2022;122;118;4
57;Openbaar groen en (openlucht) recreatie;2023;118;113;5
58;Totaal sociaal domein;2022;4391;4262;128
59;Totaal sociaal domein;2023;4418;4553;-135
60;Algemene voorzieningen incl. wijkteams;2022;155;153;2
61;Algemene voorzieningen incl. wijkteams;2023;479;368;111
62;Inkomensregelingen;2022;1192;1182;10
63;Inkomensregelingen;2023;1263;1335;-72
64;Participatie;2022;1922;1777;144
65;Participatie;2023;1846;1775;72
66;Maatwerkvoorziening (WMO);2022;20;30;-11
67;Maatwerkvoorziening (WMO);2023;103;107;-4
68;Maatwerkdienstverlening 18+;2022;253;302;-49
69;Maatwerkdienstverlening 18+;2023;189;226;-37
70;Maatwerkdienstverlening 18-;2022;668;535;133
71;Maatwerkdienstverlening 18-;2023;421;594;-173
72;Geëscaleerde zorg 18+;2022;68;86;-18
73;Geëscaleerde zorg 18+;2023;23;49;-26
74;Geëscaleerde zorg 18-;2022;113;196;-83
75;Geëscaleerde zorg 18-;2023;93;99;-7
76;Totaal volksgezondheid en milieu;2022;2936;2688;249
77;Totaal volksgezondheid en milieu;2023;2435;2190;246
78;Volksgezondheid;2022;1990;1852;138
79;Volksgezondheid;2023;1391;1275;116
80;Riolering;2022;12;12;0
81;Riolering;2023;13;16;-3
82;Afval;2022;348;323;25
83;Afval;2023;382;358;24
84;Milieubeheer en begraafplaatsen;2022;586;501;85
85;Milieubeheer en begraafplaatsen;2023;650;541;108
86;Totaal volkshuisvesting, RO en sted. ver;2022;180;175;5
87;Totaal volkshuisvesting, RO en sted. ver;2023;204;193;10
88;Grondexploitatie (niet-bedrijventerrei..;2022;43;38;5
89;Grondexploitatie (niet-bedrijventerrei..;2023;45;40;5
90;Ruimtelijke ordening, wonen en bouwen;2022;137;137;0
91;Ruimtelijke ordening, wonen en bouwen;2023;158;153;5
