ID;CPA2015;Periods;PriceIndex_1;QuarterlyChanges_2;YearlyChanges_3
0;Services producer price index;2002 4th quarter;;;
1;Services producer price index;2003 1st quarter;;;
2;Services producer price index;2003 2nd quarter;;;
3;Services producer price index;2003 3rd quarter;;;
4;Services producer price index;2003 4th quarter;;;
5;Services producer price index;2003;;;
6;Services producer price index;2004 1st quarter;;;
7;Services producer price index;2004 2nd quarter;;;
8;Services producer price index;2004 3rd quarter;;;
9;Services producer price index;2004 4th quarter;;;
10;Services producer price index;2004;;;
11;Services producer price index;2005 1st quarter;;;
12;Services producer price index;2005 2nd quarter;;;
13;Services producer price index;2005 3rd quarter;;;
14;Services producer price index;2005 4th quarter;;;
15;Services producer price index;2005;;;
16;Services producer price index;2006 1st quarter;83.7;;
17;Services producer price index;2006 2nd quarter;83.8;0.1;
18;Services producer price index;2006 3rd quarter;84.4;0.8;
19;Services producer price index;2006 4th quarter;85.1;0.8;
20;Services producer price index;2006;84.2;;
21;Services producer price index;2007 1st quarter;85.4;0.4;2.1
22;Services producer price index;2007 2nd quarter;85.9;0.6;2.6
23;Services producer price index;2007 3rd quarter;86.2;0.4;2.1
24;Services producer price index;2007 4th quarter;86.8;0.7;2.1
25;Services producer price index;2007;86.1;;2.2
26;Services producer price index;2008 1st quarter;87.4;0.7;2.4
27;Services producer price index;2008 2nd quarter;87.8;0.4;2.2
28;Services producer price index;2008 3rd quarter;88.5;0.8;2.6
29;Services producer price index;2008 4th quarter;88.7;0.3;2.1
30;Services producer price index;2008;88.1;;2.3
31;Services producer price index;2009 1st quarter;88.6;-0.1;1.3
32;Services producer price index;2009 2nd quarter;88.1;-0.6;0.3
33;Services producer price index;2009 3rd quarter;88.2;0.2;-0.3
34;Services producer price index;2009 4th quarter;88.6;0.4;-0.1
35;Services producer price index;2009;88.4;;0.3
36;Services producer price index;2010 1st quarter;88.9;0.3;0.4
37;Services producer price index;2010 2nd quarter;89.2;0.4;1.3
38;Services producer price index;2010 3rd quarter;88.9;-0.3;0.8
39;Services producer price index;2010 4th quarter;89.4;0.5;0.9
40;Services producer price index;2010;89.1;;0.8
41;Services producer price index;2011 1st quarter;89.6;0.3;0.8
42;Services producer price index;2011 2nd quarter;89.9;0.3;0.8
43;Services producer price index;2011 3rd quarter;89.8;-0.1;0.9
44;Services producer price index;2011 4th quarter;89.6;-0.2;0.2
45;Services producer price index;2011;89.7;;0.7
46;Services producer price index;2012 1st quarter;89.5;-0.1;-0.2
47;Services producer price index;2012 2nd quarter;89.9;0.5;0.1
48;Services producer price index;2012 3rd quarter;89.7;-0.3;-0.1
49;Services producer price index;2012 4th quarter;90.0;0.4;0.5
50;Services producer price index;2012;89.8;;0.1
51;Services producer price index;2013 1st quarter;90.2;0.2;0.8
52;Services producer price index;2013 2nd quarter;90.3;0.1;0.4
53;Services producer price index;2013 3rd quarter;90.5;0.2;0.9
54;Services producer price index;2013 4th quarter;90.6;0.1;0.6
55;Services producer price index;2013;90.4;;0.7
56;Services producer price index;2014 1st quarter;90.3;-0.3;0.1
57;Services producer price index;2014 2nd quarter;90.6;0.3;0.3
58;Services producer price index;2014 3rd quarter;91.1;0.5;0.6
59;Services producer price index;2014 4th quarter;90.6;-0.5;0.0
60;Services producer price index;2014;90.7;;0.3
61;Services producer price index;2015 1st quarter;91.5;1.0;1.3
62;Services producer price index;2015 2nd quarter;91.6;0.1;1.1
63;Services producer price index;2015 3rd quarter;91.2;-0.4;0.1
64;Services producer price index;2015 4th quarter;91.6;0.4;1.1
65;Services producer price index;2015;91.5;;0.9
66;Services producer price index;2016 1st quarter;91.4;-0.3;-0.1
67;Services producer price index;2016 2nd quarter;91.4;0.0;-0.2
68;Services producer price index;2016 3rd quarter;91.5;0.1;0.4
69;Services producer price index;2016 4th quarter;91.4;-0.1;-0.2
70;Services producer price index;2016;91.4;;0.0
71;Services producer price index;2017 1st quarter;91.8;0.4;0.5
72;Services producer price index;2017 2nd quarter;92.1;0.3;0.8
73;Services producer price index;2017 3rd quarter;92.1;0.0;0.6
74;Services producer price index;2017 4th quarter;92.7;0.6;1.3
75;Services producer price index;2017;92.2;;0.8
76;Services producer price index;2018 1st quarter;93.2;0.6;1.5
77;Services producer price index;2018 2nd quarter;93.9;0.7;1.9
78;Services producer price index;2018 3rd quarter;94.6;0.8;2.7
79;Services producer price index;2018 4th quarter;95.4;0.8;2.9
80;Services producer price index;2018;94.3;;2.3
81;Services producer price index;2019 1st quarter;96.0;0.6;3.0
82;Services producer price index;2019 2nd quarter;96.6;0.6;2.9
83;Services producer price index;2019 3rd quarter;96.6;0.1;2.1
84;Services producer price index;2019 4th quarter;96.9;0.3;1.6
85;Services producer price index;2019;96.5;;2.4
86;Services producer price index;2020 1st quarter;97.7;0.8;1.8
87;Services producer price index;2020 2nd quarter;98.3;0.5;1.7
88;Services producer price index;2020 3rd quarter;97.9;-0.3;1.3
89;Services producer price index;2020 4th quarter;98.1;0.2;1.2
90;Services producer price index;2020;98.0;;1.5
91;Services producer price index;2021 1st quarter;97.9;-0.2;0.2
92;Services producer price index;2021 2nd quarter;99.6;1.8;1.4
93;Services producer price index;2021 3rd quarter;101.2;1.6;3.4
94;Services producer price index;2021 4th quarter;101.2;0.0;3.2
95;Services producer price index;2021;100.0;;2.0
96;Services producer price index;2022 1st quarter;102.9;1.6;5.0
97;Services producer price index;2022 2nd quarter;106.0;3.1;6.4
98;Services producer price index;2022 3rd quarter;108.8;2.6;7.5
99;Services producer price index;2022 4th quarter;108.3;-0.5;7.0
100;Services producer price index;2022;106.5;;6.5
