ID;CPA2015;Perioden;Prijsindex_1;Kwartaalmutaties_2;Jaarmutaties_3
0;Dienstenprijsindex (DPI);2002 4e kwartaal;;;
1;Dienstenprijsindex (DPI);2003 1e kwartaal;;;
2;Dienstenprijsindex (DPI);2003 2e kwartaal;;;
3;Dienstenprijsindex (DPI);2003 3e kwartaal;;;
4;Dienstenprijsindex (DPI);2003 4e kwartaal;;;
5;Dienstenprijsindex (DPI);2003;;;
6;Dienstenprijsindex (DPI);2004 1e kwartaal;;;
7;Dienstenprijsindex (DPI);2004 2e kwartaal;;;
8;Dienstenprijsindex (DPI);2004 3e kwartaal;;;
9;Dienstenprijsindex (DPI);2004 4e kwartaal;;;
10;Dienstenprijsindex (DPI);2004;;;
11;Dienstenprijsindex (DPI);2005 1e kwartaal;;;
12;Dienstenprijsindex (DPI);2005 2e kwartaal;;;
13;Dienstenprijsindex (DPI);2005 3e kwartaal;;;
14;Dienstenprijsindex (DPI);2005 4e kwartaal;;;
15;Dienstenprijsindex (DPI);2005;;;
16;Dienstenprijsindex (DPI);2006 1e kwartaal;83.7;;
17;Dienstenprijsindex (DPI);2006 2e kwartaal;83.8;0.1;
18;Dienstenprijsindex (DPI);2006 3e kwartaal;84.4;0.8;
19;Dienstenprijsindex (DPI);2006 4e kwartaal;85.1;0.8;
20;Dienstenprijsindex (DPI);2006;84.2;;
21;Dienstenprijsindex (DPI);2007 1e kwartaal;85.4;0.4;2.1
22;Dienstenprijsindex (DPI);2007 2e kwartaal;85.9;0.6;2.6
23;Dienstenprijsindex (DPI);2007 3e kwartaal;86.2;0.4;2.1
24;Dienstenprijsindex (DPI);2007 4e kwartaal;86.8;0.7;2.1
25;Dienstenprijsindex (DPI);2007;86.1;;2.2
26;Dienstenprijsindex (DPI);2008 1e kwartaal;87.4;0.7;2.4
27;Dienstenprijsindex (DPI);2008 2e kwartaal;87.8;0.4;2.2
28;Dienstenprijsindex (DPI);2008 3e kwartaal;88.5;0.8;2.6
29;Dienstenprijsindex (DPI);2008 4e kwartaal;88.7;0.3;2.1
30;Dienstenprijsindex (DPI);2008;88.1;;2.3
31;Dienstenprijsindex (DPI);2009 1e kwartaal;88.6;-0.1;1.3
32;Dienstenprijsindex (DPI);2009 2e kwartaal;88.1;-0.6;0.3
33;Dienstenprijsindex (DPI);2009 3e kwartaal;88.2;0.2;-0.3
34;Dienstenprijsindex (DPI);2009 4e kwartaal;88.6;0.4;-0.1
35;Dienstenprijsindex (DPI);2009;88.4;;0.3
36;Dienstenprijsindex (DPI);2010 1e kwartaal;88.9;0.3;0.4
37;Dienstenprijsindex (DPI);2010 2e kwartaal;89.2;0.4;1.3
38;Dienstenprijsindex (DPI);2010 3e kwartaal;88.9;-0.3;0.8
39;Dienstenprijsindex (DPI);2010 4e kwartaal;89.4;0.5;0.9
40;Dienstenprijsindex (DPI);2010;89.1;;0.8
41;Dienstenprijsindex (DPI);2011 1e kwartaal;89.6;0.3;0.8
42;Dienstenprijsindex (DPI);2011 2e kwartaal;89.9;0.3;0.8
43;Dienstenprijsindex (DPI);2011 3e kwartaal;89.8;-0.1;0.9
44;Dienstenprijsindex (DPI);2011 4e kwartaal;89.6;-0.2;0.2
45;Dienstenprijsindex (DPI);2011;89.7;;0.7
46;Dienstenprijsindex (DPI);2012 1e kwartaal;89.5;-0.1;-0.2
47;Dienstenprijsindex (DPI);2012 2e kwartaal;89.9;0.5;0.1
48;Dienstenprijsindex (DPI);2012 3e kwartaal;89.7;-0.3;-0.1
49;Dienstenprijsindex (DPI);2012 4e kwartaal;90.0;0.4;0.5
50;Dienstenprijsindex (DPI);2012;89.8;;0.1
51;Dienstenprijsindex (DPI);2013 1e kwartaal;90.2;0.2;0.8
52;Dienstenprijsindex (DPI);2013 2e kwartaal;90.3;0.1;0.4
53;Dienstenprijsindex (DPI);2013 3e kwartaal;90.5;0.2;0.9
54;Dienstenprijsindex (DPI);2013 4e kwartaal;90.6;0.1;0.6
55;Dienstenprijsindex (DPI);2013;90.4;;0.7
56;Dienstenprijsindex (DPI);2014 1e kwartaal;90.3;-0.3;0.1
57;Dienstenprijsindex (DPI);2014 2e kwartaal;90.6;0.3;0.3
58;Dienstenprijsindex (DPI);2014 3e kwartaal;91.1;0.5;0.6
59;Dienstenprijsindex (DPI);2014 4e kwartaal;90.6;-0.5;0.0
60;Dienstenprijsindex (DPI);2014;90.7;;0.3
61;Dienstenprijsindex (DPI);2015 1e kwartaal;91.5;1.0;1.3
62;Dienstenprijsindex (DPI);2015 2e kwartaal;91.6;0.1;1.1
63;Dienstenprijsindex (DPI);2015 3e kwartaal;91.2;-0.4;0.1
64;Dienstenprijsindex (DPI);2015 4e kwartaal;91.6;0.4;1.1
65;Dienstenprijsindex (DPI);2015;91.5;;0.9
66;Dienstenprijsindex (DPI);2016 1e kwartaal;91.4;-0.3;-0.1
67;Dienstenprijsindex (DPI);2016 2e kwartaal;91.4;0.0;-0.2
68;Dienstenprijsindex (DPI);2016 3e kwartaal;91.5;0.1;0.4
69;Dienstenprijsindex (DPI);2016 4e kwartaal;91.4;-0.1;-0.2
70;Dienstenprijsindex (DPI);2016;91.4;;0.0
71;Dienstenprijsindex (DPI);2017 1e kwartaal;91.8;0.4;0.5
72;Dienstenprijsindex (DPI);2017 2e kwartaal;92.1;0.3;0.8
73;Dienstenprijsindex (DPI);2017 3e kwartaal;92.1;0.0;0.6
74;Dienstenprijsindex (DPI);2017 4e kwartaal;92.7;0.6;1.3
75;Dienstenprijsindex (DPI);2017;92.2;;0.8
76;Dienstenprijsindex (DPI);2018 1e kwartaal;93.2;0.6;1.5
77;Dienstenprijsindex (DPI);2018 2e kwartaal;93.9;0.7;1.9
78;Dienstenprijsindex (DPI);2018 3e kwartaal;94.6;0.8;2.7
79;Dienstenprijsindex (DPI);2018 4e kwartaal;95.4;0.8;2.9
80;Dienstenprijsindex (DPI);2018;94.3;;2.3
81;Dienstenprijsindex (DPI);2019 1e kwartaal;96.0;0.6;3.0
82;Dienstenprijsindex (DPI);2019 2e kwartaal;96.6;0.6;2.9
83;Dienstenprijsindex (DPI);2019 3e kwartaal;96.6;0.1;2.1
84;Dienstenprijsindex (DPI);2019 4e kwartaal;96.9;0.3;1.6
85;Dienstenprijsindex (DPI);2019;96.5;;2.4
86;Dienstenprijsindex (DPI);2020 1e kwartaal;97.7;0.8;1.8
87;Dienstenprijsindex (DPI);2020 2e kwartaal;98.3;0.5;1.7
88;Dienstenprijsindex (DPI);2020 3e kwartaal;97.9;-0.3;1.3
89;Dienstenprijsindex (DPI);2020 4e kwartaal;98.1;0.2;1.2
90;Dienstenprijsindex (DPI);2020;98.0;;1.5
91;Dienstenprijsindex (DPI);2021 1e kwartaal;97.9;-0.2;0.2
92;Dienstenprijsindex (DPI);2021 2e kwartaal;99.6;1.8;1.4
93;Dienstenprijsindex (DPI);2021 3e kwartaal;101.2;1.6;3.4
94;Dienstenprijsindex (DPI);2021 4e kwartaal;101.2;0.0;3.2
95;Dienstenprijsindex (DPI);2021;100.0;;2.0
96;Dienstenprijsindex (DPI);2022 1e kwartaal;102.9;1.6;5.0
97;Dienstenprijsindex (DPI);2022 2e kwartaal;106.0;3.1;6.4
98;Dienstenprijsindex (DPI);2022 3e kwartaal;108.8;2.6;7.5
99;Dienstenprijsindex (DPI);2022 4e kwartaal;108.3;-0.5;7.0
100;Dienstenprijsindex (DPI);2022;106.5;;6.5
101;Dienstenprijsindex (DPI);2023 1e kwartaal;110.7;2.2;7.6
102;Dienstenprijsindex (DPI);2023 2e kwartaal;112.6;1.7;6.2
103;Dienstenprijsindex (DPI);2023 3e kwartaal;113.8;1.0;4.5
104;Dienstenprijsindex (DPI);2023 4e kwartaal;113.1;-0.6;4.4
105;Dienstenprijsindex (DPI);2023;112.5;;5.6
106;Dienstenprijsindex (DPI);2024 1e kwartaal;115.0;1.7;3.9
107;Dienstenprijsindex (DPI);2024 2e kwartaal;116.9;1.7;3.8
108;Dienstenprijsindex (DPI);2024 3e kwartaal;118.7;1.5;4.3
