ID;Energiedragers;NederlandseEconomie;Perioden;Winning_1;IntermediairEnHuishoudelijkVerbruik_2;Invoer_3;Productie_4;NettoEnergieverbruik_5;Uitvoer_6
0;Totaal energiedragers;Nederlandse economie totaal;2014;2309.1;7241.8;7805.7;5761.7;3789.2;6369.9
1;Totaal energiedragers;Nederlandse economie totaal;2015;1792.5;7616.2;8511.3;5992.6;3416.1;6926.2
2;Totaal energiedragers;Nederlandse economie totaal;2016;1717.2;7816.0;8625.9;6101.4;3431.7;7142.8
3;Totaal energiedragers;Nederlandse economie totaal;2017;1496.6;7906.4;7897.2;5946.7;3456.4;6174.8
4;Totaal energiedragers;Nederlandse economie totaal;2018;1303.3;8147.0;7989.7;6055.7;3394.6;5995.6
5;Totaal energiedragers;Nederlandse economie totaal;2019;1136.7;8423.3;7947.5;6193.9;3366.0;5771.8
6;Totaal energiedragers;Nederlandse economie totaal;2020;887.8;7526.7;7141.0;5259.0;3155.5;4978.8
7;Totaal energiedragers;Nederlandse economie totaal;2021;835.7;7917.2;7518.7;5484.1;3268.7;5613.1
8;Totaal energiedragers;Nederlandse economie totaal;2022;747.9;7635.2;8047.2;5389.5;2993.5;5605.0
9;Totaal energiedragers;A-U Alle economische activiteiten;2014;2309.1;6634.0;7805.7;5761.7;3181.3;6369.9
10;Totaal energiedragers;A-U Alle economische activiteiten;2015;1792.5;6994.2;8511.3;5992.6;2794.2;6926.2
11;Totaal energiedragers;A-U Alle economische activiteiten;2016;1717.2;7179.4;8625.9;6101.4;2795.1;7142.8
12;Totaal energiedragers;A-U Alle economische activiteiten;2017;1496.6;7275.1;7897.2;5946.7;2825.0;6174.8
13;Totaal energiedragers;A-U Alle economische activiteiten;2018;1303.3;7518.5;7989.7;6055.7;2766.1;5995.6
14;Totaal energiedragers;A-U Alle economische activiteiten;2019;1136.7;7806.2;7947.5;6193.9;2749.0;5771.8
15;Totaal energiedragers;A-U Alle economische activiteiten;2020;887.8;6963.8;7141.0;5259.0;2592.6;4978.8
16;Totaal energiedragers;A-U Alle economische activiteiten;2021;835.7;7304.9;7518.7;5484.1;2656.5;5613.1
17;Totaal energiedragers;A-U Alle economische activiteiten;2022;747.9;7086.4;8047.2;5389.5;2444.7;5605.0
18;Totaal energiedragers;A Landbouw, bosbouw en visserij;2014;24.9;261.6;;111.2;175.4;
19;Totaal energiedragers;A Landbouw, bosbouw en visserij;2015;26.6;249.3;;108.1;167.8;
20;Totaal energiedragers;A Landbouw, bosbouw en visserij;2016;27.0;243.3;;100.8;169.5;
21;Totaal energiedragers;A Landbouw, bosbouw en visserij;2017;26.8;252.1;;107.3;171.6;
22;Totaal energiedragers;A Landbouw, bosbouw en visserij;2018;27.7;267.0;;110.8;183.9;
23;Totaal energiedragers;A Landbouw, bosbouw en visserij;2019;31.5;274.2;;121.0;184.6;
24;Totaal energiedragers;A Landbouw, bosbouw en visserij;2020;33.8;268.8;;123.4;179.3;
25;Totaal energiedragers;A Landbouw, bosbouw en visserij;2021;31.7;278.1;;130.8;179.0;
26;Totaal energiedragers;A Landbouw, bosbouw en visserij;2022;33.9;210.7;;107.0;137.6;
27;Totaal energiedragers;01 Landbouw;2014;7.1;255.8;;92.7;170.2;
28;Totaal energiedragers;01 Landbouw;2015;8.2;243.4;;89.7;161.9;
29;Totaal energiedragers;01 Landbouw;2016;8.9;237.1;;82.7;163.3;
30;Totaal energiedragers;01 Landbouw;2017;9.1;245.2;;89.6;164.7;
31;Totaal energiedragers;01 Landbouw;2018;9.8;260.1;;92.9;177.0;
32;Totaal energiedragers;01 Landbouw;2019;13.9;267.6;;103.5;178.0;
33;Totaal energiedragers;01 Landbouw;2020;16.4;261.7;;106.0;172.1;
34;Totaal energiedragers;01 Landbouw;2021;16.7;271.0;;115.8;171.9;
35;Totaal energiedragers;01 Landbouw;2022;19.1;205.1;;92.1;132.0;
36;Totaal energiedragers;02 Bosbouw;2014;17.9;1.1;;18.5;0.4;
37;Totaal energiedragers;02 Bosbouw;2015;18.4;1.1;;18.4;1.1;
38;Totaal energiedragers;02 Bosbouw;2016;18.1;1.1;;18.1;1.1;
39;Totaal energiedragers;02 Bosbouw;2017;17.7;1.1;;17.7;1.1;
40;Totaal energiedragers;02 Bosbouw;2018;17.9;1.2;;17.9;1.2;
41;Totaal energiedragers;02 Bosbouw;2019;17.5;1.1;;17.5;1.1;
42;Totaal energiedragers;02 Bosbouw;2020;17.4;1.1;;17.4;1.1;
43;Totaal energiedragers;02 Bosbouw;2021;15.1;1.0;;15.1;1.0;
44;Totaal energiedragers;02 Bosbouw;2022;14.9;0.8;;14.9;0.8;
45;Totaal energiedragers;03 Visserij;2014;;4.7;;;4.7;
46;Totaal energiedragers;03 Visserij;2015;;4.8;;;4.8;
47;Totaal energiedragers;03 Visserij;2016;;5.1;;;5.1;
48;Totaal energiedragers;03 Visserij;2017;;5.8;;;5.8;
49;Totaal energiedragers;03 Visserij;2018;;5.7;;;5.7;
50;Totaal energiedragers;03 Visserij;2019;;5.5;;;5.5;
51;Totaal energiedragers;03 Visserij;2020;;6.1;;;6.1;
52;Totaal energiedragers;03 Visserij;2021;;6.1;;;6.1;
53;Totaal energiedragers;03 Visserij;2022;;4.8;;;4.8;
54;Totaal energiedragers;B Delfstoffenwinning;2014;2256.6;41.6;;1846.0;452.2;
55;Totaal energiedragers;B Delfstoffenwinning;2015;1730.3;39.8;;1728.7;41.3;
56;Totaal energiedragers;B Delfstoffenwinning;2016;1649.5;39.2;;1648.0;40.7;
57;Totaal energiedragers;B Delfstoffenwinning;2017;1417.8;40.6;;1416.4;42.0;
58;Totaal energiedragers;B Delfstoffenwinning;2018;1217.4;39.7;;1216.5;40.6;
59;Totaal energiedragers;B Delfstoffenwinning;2019;1036.6;34.5;;1035.9;35.3;
60;Totaal energiedragers;B Delfstoffenwinning;2020;759.7;33.4;;759.1;34.0;
