ID;Landen;Perioden;Totaal_1;PlantaardigeProducten_2;Totaal_3;Dieren_4;DierlijkeProducten_5;Landbouwdiensten_6;NietTotDeLandbouwBehorendeNevena_7;IntermediairVerbruik_8;BrutoToegevoegdeWaardeBasisprijzen_9;BrutoToegevoegdeWaardeBasisprijzen_10;VerbruikVanVasteActiva_11;NietProductgebondenBelastingen_12;NietProductgebondenSubsidies_13;Landbouwinkomen_14;Arbeidsvolume_15;Inkomensindex2021100_16;MutatieTOVVoorafgaandJaar_17
0;Europese Unie: EU-27 (vanaf 2020);1995;;;;;;;;;;;;;;;;;
1;Europese Unie: EU-27 (vanaf 2020);1996;;;;;;;;;;;;;;;;;
2;Europese Unie: EU-27 (vanaf 2020);1997;;;;;;;;;;;;;;;;;
3;Europese Unie: EU-27 (vanaf 2020);1998;;;;;;;;;;;;;;;;;
4;Europese Unie: EU-27 (vanaf 2020);1999;;;;;;;;;;;;;;;;;
5;Europese Unie: EU-27 (vanaf 2020);2000;;;;;;;;;;;;;;;;;
6;Europese Unie: EU-27 (vanaf 2020);2001;;;;;;;;;;;;;;;;;
7;Europese Unie: EU-27 (vanaf 2020);2002;;;;;;;;;;;;;;;;;
8;Europese Unie: EU-27 (vanaf 2020);2003;;;;;;;;;;;;;;;;;
9;Europese Unie: EU-27 (vanaf 2020);2004;;;;;;;;;;;;;;;;;
10;Europese Unie: EU-27 (vanaf 2020);2005;314743.0;165814.0;125883.0;76636.0;49247.0;13886.0;9159.0;169083.0;145660.0;145660.0;44818.0;5094.0;25817.0;121566.0;12469.0;57.6;
11;Europese Unie: EU-27 (vanaf 2020);2006;315099.0;164705.0;125845.0;77517.0;48327.0;14396.0;10153.0;174690.0;140409.0;140409.0;46657.0;5147.0;38603.0;127208.0;12215.0;59.6;3.6
12;Europese Unie: EU-27 (vanaf 2020);2007;345959.0;188198.0;132269.0;78725.0;53544.0;14818.0;10674.0;193315.0;152644.0;152644.0;49485.0;5369.0;41009.0;138800.0;11591.0;65.9;10.8
13;Europese Unie: EU-27 (vanaf 2020);2008;364917.0;196163.0;140989.0;83006.0;57983.0;15962.0;11803.0;215809.0;149108.0;149108.0;51913.0;5638.0;42746.0;134303.0;11314.0;63.2;-4.0
14;Europese Unie: EU-27 (vanaf 2020);2009;325667.0;171143.0;127189.0;78375.0;48814.0;15860.0;11474.0;197936.0;127730.0;127730.0;51871.0;5697.0;44826.0;114989.0;11043.0;56.1;-11.2
15;Europese Unie: EU-27 (vanaf 2020);2010;351599.0;188463.0;133540.0;79043.0;54497.0;16296.0;13299.0;205669.0;145930.0;145930.0;53132.0;4962.0;47410.0;135245.0;10366.0;69.1;23.3
16;Europese Unie: EU-27 (vanaf 2020);2011;382906.0;204841.0;146388.0;86124.0;60264.0;16981.0;14695.0;227257.0;155649.0;155649.0;54493.0;4980.0;49589.0;145764.0;9799.0;77.9;12.7
