ID;PrognoseInterval;Perioden;BevolkingOp1Januari_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;TotaleDruk_8;GroeneDruk_9;GrijzeDruk_10;LevendGeborenKinderen_11;TotaalVruchtbaarheidscijfer_12;Overledenen_13;Totaal_14;Mannen_15;Vrouwen_16;Totaal_17;Mannen_18;Vrouwen_19;Immigratie_20;EmigratieInclusiefCorrecties_21;MigratiesaldoInclusiefCorrecties_22
0;Prognose;2024;;;;;;;;;;;165167;1.42;174993;81.89;80.53;83.22;19.87;18.86;20.84;319188;204192;114996
1;Prognose;2025;18048111.0;3716892.0;10578314.0;3752906.0;20.6;58.6;20.8;70.6;35.1;35.5;165353;1.4;174207;82.15;80.77;83.51;20.06;19.02;21.05;314234;209487;104747
2;Prognose;2026;18144004.0;3702620.0;10611096.0;3830288.0;20.4;58.5;21.1;71.0;34.9;36.1;167204;1.4;173830;82.4;81.0;83.79;20.24;19.19;21.25;308115;216364;91751
3;Prognose;2027;18229130.0;3688613.0;10627699.0;3912818.0;20.2;58.3;21.5;71.5;34.7;36.8;170392;1.42;173817;82.65;81.23;84.07;20.42;19.36;21.45;309331;225949;83382
4;Prognose;2028;18309087.0;3678100.0;10634540.0;3996447.0;20.1;58.1;21.8;72.2;34.6;37.6;174121;1.44;174116;82.9;81.46;84.34;20.6;19.53;21.65;310302;236302;74000
5;Prognose;2029;18383091.0;3665152.0;10635207.0;4082733.0;19.9;57.9;22.2;72.9;34.5;38.4;178557;1.47;174697;83.15;81.69;84.61;20.78;19.69;21.85;310027;239144;70882
6;Prognose;2030;18457834.0;3656888.0;10629858.0;4171088.0;19.8;57.6;22.6;73.6;34.4;39.2;183139;1.5;175516;83.39;81.91;84.88;20.96;19.85;22.05;308904;241054;67851
7;Prognose;2031;18533307.0;3653386.0;10626533.0;4253388.0;19.7;57.3;22.9;74.4;34.4;40.0;186968;1.53;178020;83.56;82.07;85.06;21.08;19.97;22.18;309762;242400;67362
8;Prognose;2032;18609617.0;3658258.0;10622151.0;4329209.0;19.7;57.1;23.3;75.2;34.4;40.8;190143;1.55;180522;83.73;82.23;85.23;21.2;20.09;22.3;310202;243231;66971
9;Prognose;2033;18686208.0;3669418.0;10616002.0;4400789.0;19.6;56.8;23.6;76.0;34.6;41.5;192787;1.57;182995;83.89;82.4;85.4;21.33;20.21;22.43;309773;243515;66258
10;Prognose;2034;18762258.0;3687311.0;10603280.0;4471667.0;19.7;56.5;23.8;76.9;34.8;42.2;194978;1.58;185413;84.06;82.56;85.57;21.45;20.32;22.56;309123;244305;64818
11;Prognose;2035;18836640.0;3703364.0;10583474.0;4549803.0;19.7;56.2;24.2;78.0;35.0;43.0;196712;1.6;187755;84.23;82.72;85.74;21.57;20.44;22.69;309330;245099;64231
12;Prognose;2036;18909828.0;3725160.0;10564806.0;4619862.0;19.7;55.9;24.4;79.0;35.3;43.7;197945;1.61;189994;84.39;82.88;85.91;21.69;20.56;22.81;309381;246001;63380
13;Prognose;2037;18981159.0;3746772.0;10556901.0;4677487.0;19.7;55.6;24.6;79.8;35.5;44.3;198628;1.62;192113;84.55;83.04;86.08;21.81;20.68;22.94;309409;246917;62492
14;Prognose;2038;19050165.0;3771496.0;10556604.0;4722065.0;19.8;55.4;24.8;80.5;35.7;44.7;198740;1.63;194090;84.72;83.19;86.25;21.93;20.79;23.07;309439;247729;61710
15;Prognose;2039;19116525.0;3797714.0;10570738.0;4748073.0;19.9;55.3;24.8;80.8;35.9;44.9;198419;1.63;195908;84.87;83.35;86.41;22.05;20.91;23.19;309495;248420;61075
16;Prognose;2040;19180111.0;3822963.0;10591707.0;4765440.0;19.9;55.2;24.8;81.1;36.1;45.0;197914;1.64;197551;85.03;83.5;86.57;22.17;21.02;23.31;309565;249048;60517
17;Prognose;2041;19240990.0;3848975.0;10618863.0;4773152.0;20.0;55.2;24.8;81.2;36.2;44.9;197280;1.64;199034;85.19;83.65;86.73;22.29;21.13;23.43;309618;249577;60041
18;Prognose;2042;19299277.0;3864217.0;10656524.0;4778537.0;20.0;55.2;24.8;81.1;36.3;44.8;196570;1.64;200371;85.34;83.8;86.88;22.4;21.24;23.55;309706;250052;59654
19;Prognose;2043;19355130.0;3890541.0;10683309.0;4781280.0;20.1;55.2;24.7;81.2;36.4;44.8;195809;1.64;201571;85.49;83.95;87.04;22.52;21.36;23.67;309769;250517;59252
20;Prognose;2044;19408620.0;3919271.0;10703663.0;4785686.0;20.2;55.1;24.7;81.3;36.6;44.7;195005;1.64;202646;85.65;84.1;87.19;22.63;21.47;23.78;309872;250923;58949
21;Prognose;2045;19459928.0;3946585.0;10724215.0;4789129.0;20.3;55.1;24.6;81.5;36.8;44.7;194198;1.64;203674;85.8;84.25;87.34;22.74;21.58;23.9;309881;251313;58568
