ID;TypeMaatwerkvoorziening;RegioS;Perioden;Stand_1;Instroom_2;Uitstroom_3
0;Totaal;Aa en Hunze;1e halfjaar 2017;460.0;800.0;270.0
1;Totaal;Aa en Hunze;2e halfjaar 2017;990.0;210.0;975.0
2;Totaal;Aa en Hunze;2017;460.0;1010.0;1245.0
3;Totaal;Aa en Hunze;1e halfjaar 2018;240.0;1550.0;390.0
4;Totaal;Aa en Hunze;2e halfjaar 2018;1400.0;395.0;1460.0
5;Totaal;Aa en Hunze;2018;240.0;1945.0;1850.0
6;Totaal;Aa en Hunze;1e halfjaar 2019;660.0;1520.0;290.0
7;Totaal;Aa en Hunze;2e halfjaar 2019;1885.0;335.0;1425.0
8;Totaal;Aa en Hunze;2019;660.0;1855.0;1715.0
9;Totaal;Aa en Hunze;1e halfjaar 2020;1025.0;2050.0;995.0
10;Totaal;Aa en Hunze;2e halfjaar 2020;2075.0;690.0;1685.0
11;Totaal;Aa en Hunze;2020;1025.0;2735.0;2680.0
12;Totaal;Aa en Hunze;1e halfjaar 2021;1075.0;1715.0;355.0
13;Totaal;Aa en Hunze;2e halfjaar 2021;2430.0;415.0;1735.0
14;Totaal;Aa en Hunze;2021;1075.0;2130.0;2090.0
15;Totaal;Aa en Hunze;1e halfjaar 2022;1690.0;1145.0;320.0
16;Totaal;Aa en Hunze;2e halfjaar 2022;2515.0;310.0;415.0
17;Totaal;Aa en Hunze;2022;1690.0;1455.0;735.0
18;Totaal;Aa en Hunze;1e halfjaar 2023;2405.0;430.0;300.0
19;Totaal;Aa en Hunze;2e halfjaar 2023;2530.0;210.0;1035.0
20;Totaal;Aa en Hunze;2023;2405.0;640.0;1335.0
21;Totaal;Aa en Hunze;1e halfjaar 2024;1695.0;970.0;340.0
22;Totaal;Aalburg;1e halfjaar 2017;985.0;150.0;105.0
23;Totaal;Aalburg;2e halfjaar 2017;1030.0;130.0;95.0
24;Totaal;Aalburg;2017;985.0;280.0;200.0
