ID;Arbeidspositie;Gezondheid;Geslacht;Persoonskenmerken;Perioden;BeroepsEnNietBeroepsbevolking_1
0;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2021;13147
1;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2022;13228
2;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2023;13326
3;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Totaal personen;2024;13387
4;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2021;2120
5;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2022;2147
6;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2023;2169
7;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;2024;2175
8;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2021;4316
9;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2022;4400
10;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2023;4489
11;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 45 jaar;2024;4556
12;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2021;2238
13;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2022;2280
14;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2023;2325
15;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2024;2356
16;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2021;2077
17;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2022;2119
18;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2023;2163
19;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2024;2200
20;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2021;6710
21;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2022;6681
22;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2023;6667
23;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 75 jaar;2024;6657
24;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2021;2373
25;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2022;2333
26;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2023;2295
27;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2024;2248
28;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2021;2390
29;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2022;2414
30;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2023;2434
31;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2024;2453
32;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2021;1947
33;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2022;1934
34;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2023;1938
35;Beroeps- en niet beroepsbevolking;Totaal;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2024;1955
